#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,10000,0,10000,17592.02
389,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,167105.04
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,150000,0,150000,124829.15
39190,OTRAS MULTAS Y SANCIONES,25000,0,25000,57835.89
39211,RECARGO DE APREMIO,200000,0,200000,314259.24
39300,INTERESES DE DEMORA,200000,0,200000,286342.04
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,30000,0,30000,10723.01
39900,OTROS INGRESOS DIVERSOS,50000,0,50000,99377.93
39901,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,12315.64
39907,INGRESOS DIVIDENDOS CANAL ISABEL II,220000,0,220000,209408.77
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,9500000,0,9500000,9577848.26
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000,0,44000,0
45002,TRANSF. CAMP CONVENIO SERVICIOS SOCIALES,424000,0,424000,423638.63
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,100000,0,100000,103797.28
45030,TRANSFER. CAM ESCUELAS INFANTILES,327000,0,327000,328677.9
45034,TRANSFERENCIAS CAM A CONVENIO ABSENTISMO ESCOLAR,6000,0,6000,5495.99
45035,TRANSFER. CAM DEPORTES,10000,0,10000,31694
45036,TRANSFERENCIAS INAP,8000,0,8000,0
45037,TRANSFERENCIAS CONSEJERIA COMUNIDAD DE MADRID A CULTURA,0,0,0,6858.96
45038,TRANSFERENCIAS SEGURIDAD CIUDADANA,0,0,0,4275.5
45051,TRANSFERENCIAS CAM A PROGRAMAS DE CAPACITACION PROFESIONAL,300000,0,300000,23999.99
45052,TRANSF. CAM PROGRAMA RECUALIFICACIÓN,144000,0,144000,507679.92
45053,TRANSF. CAM PROGRAMA INSERCIÓN LABORAL,472000,0,472000,637329.4
45061,TRANSFERENCIAS FUNCIONAMIENTO JUZGADO DE PAZ,3000,0,3000,2392
45062,TRANSFERENCIAS CAM BESCAM,1210000,0,1210000,694992
46600,TRANSFERENCIAS FEMP PROGRAMAS DE SALUD,2000,0,2000,5155.48
46601,TRANSFERENCIAS FEMP PROGRAMAS MAYORES,10000,0,10000,10709.61
52000,INTERESES EN CUENTAS CORRIENTES,200000,0,200000,29093.57
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,125000,0,125000,120294.91
55500,CONCESIONES ADMINISTRATIVAS,315000,0,315000,318263.77
61900,ENAJENACION PLAZAS APARCAMIENTO MUNICIPALES,140000,0,140000,0
79100,PROGRAMA OPERATIVO FEDER MADRID 2007-2013,400000,0,400000,0
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,40000,0,40000,76343.72
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000,0,25000,24040.48
870,Remanente de tesorería,0,0,0,0
87000,Para gastos generales,0,2886728.29,2886728.29,0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0,0,0,0
#,,51100000,2886728.29,53986728.29,53420101.11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
