#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
45060,OTRAS TRANS CTES EN CUMPLIMIENTO DE CONV SUSCRITOS CON C.A,0,0,0,0
45061,TRANSFER. JUZGADO DE PAZ,3335,0,3335,3480
45062,TRANSFER. CAM BESCAM,1000830.13,0,1000830.13,1474511.76
45080,TRANSFER. CAM PRISMA GASTOS CORRIENTES,331801.09,0,331801.09,331801.09
45081,TRANSFER. CAM ACTIVIDADES CULTURALES,29700,0,29700,-1229.13
45082,TRANSFER. CAM. JUVENTUD,25000,0,25000,0
45083,TRANSFER. CAM ACTIVIDADES DEPORTIVAS,25000,0,25000,50832.26
45084,TRANSF. CAM PROMOCIÓN ACTIVIDADES TAURINAS,5000,0,5000,0
45086,OTRAS SUBVENCIONES SALUD,0,0,0,0
45087,TRANSFERENCIAS COMUNIDAD DE MADRID A MEDIO AMBIENTE,0,0,0,0
45088,TRANSFERENCIAS CAM ESCUELA DE MÚSICA,112031.8,0,112031.8,190715.08
49100,TRANSFERENCIAS DEL FONDO DE DESARROLLO REGIONAL,0,0,0,0
52000,INTERESES EN CUENTAS CORRIENTES,100000,0,100000,14633.34
54100,ARRENDAMIENTOS INMUEBLES PATRIMONIALES,70000,0,70000,84325.12
55500,CONCESIONES ADMINISTRATIVAS,280000,0,280000,277223.53
59906,OTROS INGRESOS PATRIMONIALES.,0,0,0,0
60000,INVERSION EN TERRENOS,0,0,0,0
72000,TRANSFERENCIAS DE CAPITAL OBRAS PLAN ESTATAL,0,1712914.94,1712914.94,727016.86
77000,TRANSFERENCIA CAPITAL EMPRESAS PRIVADAS,0,0,0,0
83000,REINTEGRO ANTICIPOS CONCEDIDOS AL PERSONAL,30000,0,30000,41633.31
83100,REINTEGRO PRÉSTAMO CONCEDIDO A LARGO PLAZO,24040.48,0,24040.48,24040.48
91300,PRESTAMOS ICO,0,0,0,1633939.21
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,0,0,0,0
#,,57383339.48,2731755.53,60115095.01,49876653.67
