#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
39903,INGRESOS SOSTENIBILIDAD DE BIENES Y EQUIPAMIENTOS CULTURALES,70000,0,70000,22225
39904,INGRESOS PROCEDENTES DEVOLUCION IMPUESTOS,1353750.03,0,1353750.03,88.5
42020,PARTICIPACION MUNICIPAL EN LOS TRIBUTOS DEL ESTADO,7435703.04,0,7435703.04,7626111.59
42091,SUBVENCIONES FORMACION PERSONAL,14003.33,0,14003.33,6615
45002,TRANSF. CAM CONVENIO SERVICIOS SOCIALES,594589.75,0,594589.75,594589.75
45003,TRANSFERENCIAS CAM A CONCILIACION VIDA LABORAL Y PERSONAL,45031.14,0,45031.14,45031.14
45004,TRANSF. CAM CONVENIO ERRADICACION DE VIOLENCIA DE GENERO,74631.24,0,74631.24,74631.24
45005,TRANSF. CAM PROGRAMAS SALUD PÚBLICA,13423,0,13423,5287.15
45006,TRANSFER. CAM CONVENIO VOLUNTARIADO,11538,0,11538,11538
45007,TRANSFERENCIAS COMUNIDAD DE MADRID A CONSUMO,33731,0,33731,11500
45008,TRANSFER. CAM CONVENIO INMIGRACIÓN,27974.1,0,27974.1,0
45030,TRANSFER. CAM ESCUELAS INFANTILES,557856,0,557856,370731.39
45031,TRANSFER. CAM FUNCIONAMIENTO ESCUELA DE ADULTOS,21495,0,21495,14560
45032,TRANSF. CAM  ACTIVIDADES EXTRAESCOLARES,89400,0,89400,83452
45034,TRANSFER. CAM CONVENIO ABSENTISMO ESCOLAR,7700,0,7700,5635.49
45050,TRANSF. CAM CORPORACIONES LOCALES,360000,0,360000,20034.25
45051,TRANSFER. CAM PROGRAMA CAPACITACIÓN PROFESIONAL,28065,0,28065,0
45052,TRANSFER. CAM AGENTES DESARROLLO LOCAL,51400,0,51400,0
45054,TRANSFERENCIAS CAM TALLERES DE EMPLEO,342000,0,342000,171445.86
45055,TRANSFERENCIAS CAM FORMACION OCUPACIONAL,115000,0,115000,77807.3
45056,CONENIO CAM ACCIONES ORIENTACION AL EMPLEO,40000,0,40000,0
45061,TRANSFER. JUZGADO DE PAZ,3335,0,3335,3306
45062,TRANSFER. CAM BESCAM,1000830.13,0,1000830.13,1218817.9
45080,OTRAS SUBVENCIONES CAM- PRISMA 2008-2011,0,0,0,293134.94
45083,TRANSFER. CAM ACTIVIDADES DEPORTIVAS,48000,0,48000,19503.36
45088,TRANSFERENCIAS CAM ESCUELA DE MÚSICA,78701.28,0,78701.28,43250.37
49100,TRANSFERENCIAS DEL FONDO DE DESARROLLO REGIONAL,82000,0,82000,0
52000,INTERESES EN CUENTAS CORRIENTES,50000,0,50000,29645.74
54100,ARRENDAMIENTOS INMUEBLES PATRIMONIALES,100000,0,100000,56889.25
55100,CONVENIO CANAL ISABEL II,2671440,0,2671440,2003580
55500,CONCESIONES ADMINISTRATIVAS,300000,0,300000,292427.63
60000,ENAJENACION PARCELA MUNICIPAL,0,0,0,1986522.05
60300,ENAJENACION INVERSION VIVIENDAS,2332140,0,2332140,0
61900,ENAJENACION PLAZAS APARCAMIENTO MUNICIPALES,0,0,0,57666
72000,TRANSFERENCIAS DE CAPITAL OBRAS PLAN ESTATAL,0,0,0,0
75009,PRISMA 2008-2011,0,0,0,0
83000,REINTEGRO ANTICIPOS CONCEDIDOS AL PERSONAL,30000,0,30000,26900
83100,REINTEGRO PRÉSTAMO CONCEDIDO A LARGO PLAZO,24040.48,0,24040.48,24040.48
91105,PRÉSTAMOS RECIBIDOS A L/P DE ENTIDADES FINANCIERAS.,0,0,0,0
91106,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,0,0,0,19452403.86
91701,PRESTAMOS RECIBIDOS LARGO PLAZO,0,0,0,0
#,,53007806.67,0,53007806.67,69420191.27
