#Org.,Pro.,Eco.,Descripción,Créditos Iniciales
B02,920,16000,SEGURIDAD SOCIAL,342590.6
B02,920,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,2290.68
B02,920,16204,ACCIÓN SOCIAL,11785.78
B02,920,16205,SEGUROS,2037.04
B02,920,20200,ALQUILER EDIFICIO ASERPINTO,205574.92
B02,920,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,50000
B02,920,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,72500
B02,920,21200,REP. MANT. Y CONSERVACION EDIFICIOS,20000
B02,920,22000,ORDINARIO NO INVENTARIABLE,60000
B02,920,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,115000
B02,920,22101,SUMINISTROS: AGUA,15000
B02,920,22200,SERVICIOS DE TELECOMUNICACIONES,48000
B02,920,22201,POSTALES,70000
B02,920,22603,PUBLICACIÓN EN DIARIOS OFICIALES,40000
B02,920,22604,"JURÍDICOS, CONTENCIOSOS",200000
B02,920,22690,GASTOS DIVERSOS,40000
B02,920,22718,MANTENIMIENTO ASCENSORES,10000
B02,920,22719,MANTENIMIENTO CLIMATIZACION,30000
B02,920,22740,CONTRATO PREVENCION RIESGOS LABORALES CON COORDINACION,38000
B02,920,22742,FORMACION PERSONAL,75000
B02,920,22762,CONTRATO PLANES DE EMERGENCIA,44000
B02,920,22763,CONTRATO COORDINACION ACTIVIDADES EMPRESARIALES,40000
B02,920,23020,INDEMNIZACIONES ASISTENCIA A TRIBUNALES,50000
B02,920,44900,SUBV PERDIDAS GESTION SERVICIOS PUBLICOS- ASERPINTO,8100000
B02,920,62500,INVERSION NUEVA EN  MOBILIARIO,100000
B02,920,62503,INVERSION EN MATERIAL INVENTARIABLE,100000
B02,920,77000,SUBVENCION DE CAPITAL ASERPINTO,0
B02,920,83000,PRESTAMOS C/P AL PERSONAL,50000
B02,925,13000,RETRIBUCIONES BÁSICAS,123591.58
B02,925,13002,OTRAS REMUNERACIONES,45108.56
B02,925,14300,OTRO PERSONAL,9959.35
B02,925,15000,PRODUCTIVIDAD,19054
B02,925,15200,OTROS INCENTIVOS AL RENDIMIENTO,18062.15
B02,925,16000,SEGURIDAD SOCIAL,73087.05
B02,925,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,449.54
B02,925,16204,ACCIÓN SOCIAL,2661.31
B02,925,16205,SEGUROS,594.14
B03,491,13000,RETRIBUCIONES BÁSICAS,94202.36
B03,491,13002,OTRAS REMUNERACIONES,14092.12
B03,491,14300,OTRO PERSONAL,5691.06
B03,491,15000,PRODUCTIVIDAD,21164.04
B03,491,15200,OTROS INCENTIVOS AL RENDIMIENTO,618.03
B03,491,16000,SEGURIDAD SOCIAL,46010.67
B03,491,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,627.2
B03,491,16204,ACCIÓN SOCIAL,1520.75
B03,491,16205,SEGUROS,254.63
B03,491,21600,"REPARACIONES, MTO Y CONSERVACION EQUIPOS PROCESOS DE INFORMA",5000
B03,491,22002,MATERIAL INFORMATICO NO INVENTARIABLE,20000
B03,491,22736,MANTENIMIENTO APLICACIONES INFORMATICAS,500000
B03,491,62600,INVERSION EQUIPOS INFORMATICOS,100000
B03,491,62601,CONEXION NUEVOS EDIFICIOS MUNICIPALES,400000
B03,491,62706,Inversión transformación digital,235338.95
B03,491,64100,GTOS. EN APLICACIONES INFORMATICAS,100000
B04,495,13000,RETRIBUCIONES BÁSICAS,85575.56
B04,495,13002,OTRAS REMUNERACIONES,12722.92
B04,495,14300,OTRO PERSONAL,4268.92
B04,495,15000,PRODUCTIVIDAD,11979.38
B04,495,15200,OTROS INCENTIVOS AL RENDIMIENTO,463.52
B04,495,15300,COMPLEMENTO DEDICACION ESPECIAL,5537.4
B04,495,16000,SEGURIDAD SOCIAL,40690.88
B04,495,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,252.56
B04,495,16204,ACCIÓN SOCIAL,1140.56
B04,495,16205,SEGUROS,254.63
B04,495,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",5000
B04,495,22622,PUBLICACIONES EN PERIODICOS,5000
B04,495,22642,PUBLICIDAD INSTITUCIONAL,50000
B04,495,22690,GASTOS DIVERSOS  PUBLICIDAD INSTITUCIONAL,30000
B04,495,22738,SERVICIOS DEPARTAMENTO PRENSA,60000
B04,495,22743,SERVICIOS IMPRESION Y MARKETING DIGITAL,35000
B04,495,62504,MATERIAL INVENTARIABLE,10000
C01,011,31000,INTERESES DE PRESTAMOS Y OTRAS OPER. FINANCIERAS EN EUROS,25000
C01,011,35200,INTERESES DE DEMORA,100000
C01,011,35900,OTROS GASTOS FINANCIEROS,100000
C01,011,91100,AMORTIZACION PRESTAMO IDAE.,56133.36
C01,011,91106,AMORT DE PRÉSTAMOS A L/P  REFINANCIACION FFPP.,1348000
C01,929,50000,FONDO DE CONTINGENCIA,200000
C01,931,12000,SUELDOS DEL GRUPO A1,16392.9
C01,931,12003,SUELDOS DEL GRUPO C1,11040.4
C01,931,12006,TRIENIOS,6006.42
C01,931,12100,COMPLEMENTO DE DESTINO,23120.16
C01,931,12101,COMPLEMENTO ESPECÍFICO,61372.92
C01,931,13000,RETRIBUCIONES BÁSICAS,102225.06
C01,931,13002,OTRAS REMUNERACIONES,33419.82
C01,931,14300,OTRO PERSONAL,9959.35
C01,931,15000,PRODUCTIVIDAD,26621
C01,931,15200,OTROS INCENTIVOS AL RENDIMIENTO,1081.55
C01,931,16000,SEGURIDAD SOCIAL,81561.32
C01,931,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,1287.72
C01,931,16204,ACCIÓN SOCIAL,2661.31
C01,931,16205,SEGUROS,509.26
C01,931,23302,INDEMNIZACIONES,10000
C01,934,12000,SUELDOS DEL GRUPO A1,16392.9
C01,934,12006,TRIENIOS,8008.56
C01,934,12100,COMPLEMENTO DE DESTINO,15147.86
C01,934,12101,COMPLEMENTO ESPECÍFICO,49815.5
C01,934,13000,RETRIBUCIONES BÁSICAS,61662.32
C01,934,13002,OTRAS REMUNERACIONES,24209.22
C01,934,14300,OTRO PERSONAL,5691.06
C01,934,15000,PRODUCTIVIDAD,19956.72
C01,934,15200,OTROS INCENTIVOS AL RENDIMIENTO,618.03
C01,934,16000,SEGURIDAD SOCIAL,50325.55
C01,934,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,536.48
C01,934,16204,ACCIÓN SOCIAL,1520.75
C01,934,16205,SEGUROS,339.51
D01,231,12003,SUELDOS DEL GRUPO C1,11040.4
D01,231,12100,COMPLEMENTO DE DESTINO,6875.54
D01,231,12101,COMPLEMENTO ESPECÍFICO,6119.54
D01,231,13000,RETRIBUCIONES BÁSICAS,560277.9
D01,231,13002,OTRAS REMUNERACIONES,92647.38
D01,231,14300,OTRO PERSONAL,29878.05
D01,231,15000,PRODUCTIVIDAD,69530.72
D01,231,15200,OTROS INCENTIVOS AL RENDIMIENTO,3244.64
D01,231,16000,SEGURIDAD SOCIAL,263915.2
D01,231,16200,OTROS INCENTIVOS AL RENDIMIENTO,4383.68
D01,231,16204,ACCIÓN SOCIAL,7983.92
D01,231,16205,SEGUROS,1697.53
D01,231,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,10000
D01,231,21200,REP. MANT. Y CONSERVACION EDIFICIOS,10000
D01,231,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,205000
D01,231,22101,SUMINISTROS: AGUA,5000
D01,231,22200,SERVICIOS DE TELECOMUNICACIONES,12000
D01,231,22201,POSTALES,15000
D01,231,22718,MANTENIMIENTO ASCENSORES,3000
D01,231,22719,MANTENIMIENTO CLIMATIZACION,20000
D01,231,22722,CONTRATOS  ATENCION DOMICIL.  (COMIDA A DOMICILIO),110500
D01,231,22724,T.R.O.E.P.: SERVICIO TELEASISTENCIA,60000
D01,231,22725,TRABAJOS EMPRESAS Y PROF: PROGRAMA DE FAMILIA,250000
D01,231,22726,CONTRATO SERVICIO AYUDA A DOMICILIO,350000
D01,231,22727,T.R.O.E.P.:AUTONOMÍA PERSONAL,125000
D01,231,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFES.,55000
D01,231,48002,CONVENIO CARITAS DIOCESANA DE GETAFE,25000
D01,231,48015,CONVENIO CRUZ ROJA ESPAÑOLA,25000
D01,231,48018,EMERGENCIA SOCIAL,450000
D01,231,48021,AYUDAS MEJORA HABITABILIDAD,12000
D02,327,22777,CONTRATOS MEMORIA DEMOCRATICA,30000
D03,924,13000,RETRIBUCIONES BÁSICAS,22320.48
D03,924,13002,OTRAS REMUNERACIONES,6119.54
D03,924,14300,OTRO PERSONAL,1422.76
D03,924,15000,PRODUCTIVIDAD,3020.36
D03,924,15200,OTROS INCENTIVOS AL RENDIMIENTO,1161.25
D03,924,16000,SEGURIDAD SOCIAL,11491.65
D03,924,16204,ACCIÓN SOCIAL,380.19
D03,924,16205,SEGUROS,84.88
D03,924,22616,PUNTO DE INFORMACIÓN ASOCIATIVA,3000
D03,924,22621,ACTIVIDADES DE PARTICIPACION CIUDADANA,30000
D03,924,48011,CONVENIO ALCOHOLICOS REHABILITADOS ASOC. PINTO- ARAP,5000
D03,924,48013,CONVENIO ASOC. FIBROMIALGIA AFECTADOS DE PINTO-AFAP,5000
D03,924,48014,CONVENIO AMP,60000
D03,924,48024,AYUDAS Y SUBVE. A ORGANIZACIONES VECINALES,160000
D03,924,48027,CONVENIO ASOCIACION DIABETICOS Y CARDIOPATAS PINTO,3000
E01,320,13000,RETRIBUCIONES BÁSICAS,123559.9
E01,320,13002,OTRAS REMUNERACIONES,26502.84
E01,320,14300,OTRO PERSONAL,8536.59
E01,320,15000,PRODUCTIVIDAD,31438.02
E01,320,15200,OTROS INCENTIVOS AL RENDIMIENTO,1463.52
E01,320,16000,SEGURIDAD SOCIAL,64428.38
E01,320,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,1016.12
E01,320,16204,ACCIÓN SOCIAL,2281.12
E01,320,16205,SEGUROS,424.38
E01,320,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,5000
E01,320,21200,REP. MANT. Y CONSERVACION EDIFICIOS,10000
E01,320,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,14000
E01,320,22101,SUMINISTROS: AGUA,13000
E01,320,22200,SERVICIOS DE TELECOMUNICACIONES,12500
E01,320,22201,POSTALES,10000
E01,320,22718,MANTENIMIENTO ASCENSORES,3000
E01,320,22719,MANTENIMIENTO CLIMATIZACION,10000
E01,320,22729,CONTRATO SERVICIO ACTIVIDADES EXTRAESCOLARES Y HORARIO AMPLI,700000
E01,320,22767,CONTRATOS REALIZADOS POR OTRAS EMPRESAS AREA EDUCACION,120000
E01,320,42200,CONVENIO UNED,12000
E01,320,48009,CONVENIO ABSENTISMO ESCOLAR,8000
E01,320,48019,PROGRAMA MUNICIPAL DE APOYO A LA ESCOLARIDAD,140000
E01,323,13000,RETRIBUCIONES BÁSICAS,385190.96
E01,323,13002,OTRAS REMUNERACIONES,130564.14
E01,323,14300,OTRO PERSONAL,28455.28
E01,323,15000,PRODUCTIVIDAD,73588.1
E01,323,15200,OTROS INCENTIVOS AL RENDIMIENTO,3090.13
E01,323,16000,SEGURIDAD SOCIAL,209313.39
E01,323,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,3279.64
E01,323,16204,ACCIÓN SOCIAL,7603.73
E01,323,16205,SEGUROS,1612.65
E01,323,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,5000
E01,323,21200,REP. MANT. Y CONSERVACION EDIFICIOS,25000
E01,323,22001,RENOVACION BIBLIOGRAFIA,1500
E01,323,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,220000
E01,323,22101,SUMINISTROS: AGUA,43000
E01,323,22102,SUMINISTROS: GAS,137000
E01,323,22104,VESTUARIO ESCUELA INFANTIL,8000
E01,323,22128,MATERIAL DE EDUCACION,15000
E01,323,22200,SERVICIOS DE TELECOMUNICACIONES,6000
E01,323,22718,MANTENIMIENTO ASCENSORES,9000
E01,323,22719,MANTENIMIENTO CLIMATIZACION,30000
E01,323,22728,CONTRATO MANUTENCION NIÑOS E. INFANTIL,150000
E01,323,22793,CONTRATO SUMINISTRO PRODUCTOS FARMACEUTICOS,3000
E01,323,48006,TRANSFERENCIAS ESCUELAS INFANTILES,615000
E01,323,62504,INVERSION EQUIPAMIENTO ESCUELA INFANTIL,60000
E01,326,13000,RETRIBUCIONES BÁSICAS,26606.72
E01,326,13002,OTRAS REMUNERACIONES,3678.78
E01,326,14300,OTRO PERSONAL,1422.76
E01,326,15000,PRODUCTIVIDAD,3977.12
E01,326,15200,OTROS INCENTIVOS AL RENDIMIENTO,154.51
E01,326,16000,SEGURIDAD SOCIAL,12089.55
E01,326,16204,ACCIÓN SOCIAL,380.19
E01,326,16205,SEGUROS,84.88
E02,241,13000,RETRIBUCIONES BÁSICAS,75580.68
E02,241,13002,OTRAS REMUNERACIONES,22020.04
E02,241,14300,OTRO PERSONAL,4268.29
E02,241,14301,SUELDOS PROY . REACTIVACION  30 AÑOS RDLD/0086/2021,225041.33
E02,241,14302,SALARIOS CUALIFICACION MAYORES 30 AÑOS EXP CDLD/0041/2021,79248.8
E02,241,14303,SALARIOS PROY  ACTIV.PROF.MENORES 30 AÑOS- GJADLD/0016/2021,82312.62
E02,241,14304,SALARIO PROY.CUALIF.MENOR 30 AÑOS EXP. GJCDLD/0015/2021,80886
E02,241,14305,PROGRAMA GRABACION Y TRATAMIENTO DE DATOS,19800
E02,241,14306,PROGRAMA ATENCION SOCIOSANITARIA,20250
E02,241,14307,SALARIOS PROY. ACTIVACION MENOR 30 AÑOS,19325
E02,241,14308,SALARIO PROY. REACTIV. MAYOR 30 AÑOS-,15000
E02,241,14309,SALARIOS PROY. CUALIFIC. MENOR 30 AÑOS,27000
E02,241,14310,SALARIOS PRO. CUALIF. MAYOR 30 AÑOS,17555
E02,241,14311,PROGRAMA PROMOCION TURISTICA,31050
E02,241,14312,PROGRAMA INGLES GESTION COMERCIAL,15000
E02,241,15000,PRODUCTIVIDAD,10060.68
E02,241,15200,OTROS INCENTIVOS AL RENDIMIENTO,463.52
E02,241,16000,SEGURIDAD SOCIAL,196061.61
E02,241,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,1495.06
E02,241,16204,ACCIÓN SOCIAL,1140.56
E02,241,16205,SEGUROS,254.63
E02,241,21200,REP. MANT. Y CONSERVACION EDIFICIOS,10000
E02,241,22121,GTOS. DIVERSOS REACTIV. MAYORES 30 AÑOS,600
E02,241,22201,POSTALES,5000
E02,241,22669,GASTOS EJECUCION PROGRAMA DE GRABACION Y TRATAMIENTO DE DATO,19556
E02,241,22670,GASTOS EJECUCION ATENCION SOCIOSANITARIA,22422
E02,241,22671,GASTOS EJECUCION PROGRAMA TECNICO SOFTWARE,34282.6
E02,241,22672,GASTOS EJECUCION PROGRAMA INGLES GESTION COMERCIAL,15342.6
E02,241,22673,GASTOS EJECUCION PROGRAMA SERVICIOS BIBLIOTECARIOS,24201
E02,241,22674,GASTOS EJECUCION PROGRAMA ORGANIZACION Y GESTION,18967
E02,241,22675,GASTOS EJECUCION PROGRAMA PROMOCION TURISTICA,34969.5
E02,241,22676,GASTOS EJECUCION PROGRAMA INGLES GESTION COMERCIAL,15342.6
E02,241,22712,PROGRAMA ACTIVACION MENORES,8000
E02,241,22719,MANTENIMIENTO CLIMATIZACION,8000
E02,241,22721,ESTUDIOS Y TRABAJOS TECNICOS,100000
E02,241,22731,TALLERES EMPLEABILIDAD,15000
E02,241,22734,AGENCIA COLOCACION,6500
E02,241,22776,FORMACION PROYECTO CUALIFICACION MAYOR 30 EXP CDLD/0041/2021,14400
E02,241,22778,FORMACION PROYECTO REACTIV MAYOR 30 AÑOS EXP RDLD/0086/2021,12880
E02,241,22779,FORMACION PROY CUALIF. MENOR 30 AÑOS EXP GJCDLD/0015/2021,22200
E03,234,12003,SUELDOS DEL GRUPO C1,11040.4
E03,234,12100,COMPLEMENTO DE DESTINO,6875.54
E03,234,12101,COMPLEMENTO ESPECÍFICO,6119.54
E03,234,13000,RETRIBUCIONES BÁSICAS,28108.5
E03,234,13002,OTRAS REMUNERACIONES,2816.94
E03,234,14300,OTRO PERSONAL,2845.53
E03,234,15000,PRODUCTIVIDAD,6507.06
E03,234,15200,OTROS INCENTIVOS AL RENDIMIENTO,309.01
E03,234,16000,SEGURIDAD SOCIAL,22124.65
E03,234,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,887.74
E03,234,16204,ACCIÓN SOCIAL,760.37
E03,234,16205,SEGUROS,169.75
E03,234,22104,VESTUARIO JUVENTUD,2500
E03,234,22199,MATERIAL JUVENTUD E INFANCIA,25000
E03,234,22660,CONSEJO JUVENTUD E INFANCIA,15000
E03,234,22733,PLAN DE JUVENTUD E INFANCIA,40000
E03,234,22745,CONTRATO CAMPAMENTO URBANO,330000
E03,234,22746,CONTRATO GESTION LUDOTECA MPAL,160000
E03,234,22786,T.R.O.E.P. PROGRAMAS DE JUVENTUD E INFANCIA,330000
E03,234,48005,PREMIOS JUVENTUD E INFANCIA,40000
E03,234,62505,EQUIPAMIENTO,6000
F01,333,13000,RETRIBUCIONES BÁSICAS,390577.53
F01,333,13002,OTRAS REMUNERACIONES,86316.86
F01,333,14300,OTRO PERSONAL,27032.52
F01,333,15000,PRODUCTIVIDAD,82842.62
F01,333,15200,OTROS INCENTIVOS AL RENDIMIENTO,2935.62
F01,333,16000,SEGURIDAD SOCIAL,199357.2
F01,333,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,213.78
F01,333,16204,ACCIÓN SOCIAL,7223.54
F01,333,16205,SEGUROS,1527.78
F01,333,22615,GASTOS ESCUELA MUSICA,15000
F01,333,62500,INVERSION EN INSTRUMENTOS Y EQUIPAMIENTO ESCUELA MUSICA,50000
F01,334,12001,SUELDOS DEL GRUPO A2,14415.02
F01,334,12006,TRIENIOS,5443.2
F01,334,12100,COMPLEMENTO DE DESTINO,9114.84
F01,334,12101,COMPLEMENTO ESPECÍFICO,15488.72
F01,334,13000,RETRIBUCIONES BÁSICAS,179919.78
F01,334,13002,OTRAS REMUNERACIONES,45530.38
F01,334,14300,OTRO PERSONAL,12804.88
F01,334,15000,PRODUCTIVIDAD,39051.64
F01,334,15200,OTROS INCENTIVOS AL RENDIMIENTO,1390.56
F01,334,15300,COMPLEMENTO DEDICACION ESPECIAL,15449.52
F01,334,16000,SEGURIDAD SOCIAL,112726.69
F01,334,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,2318.4
F01,334,16204,ACCIÓN SOCIAL,3421.68
F01,334,16205,SEGUROS,763.89
F01,334,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,10000
F01,334,20900,CÁNONES.,25000
F01,334,21200,REP. MANT. Y CONSERVACION EDIFICIOS,15000
F01,334,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,165000
F01,334,22101,SUMINISTROS: AGUA,15000
F01,334,22102,SUMINISTROS: GAS,15000
F01,334,22200,SERVICIOS DE TELECOMUNICACIONES,12500
F01,334,22201,POSTALES,10000
F01,334,22618,PROMOCION CULTURAL,100000
F01,334,22620,PROMOCION BANDA MPAL Y CORO,20000
F01,334,22630,CULTURA VECINAL Y CULTURA ABIERTA,50000
F01,334,22636,CULTURA DE VERANO,70000
F01,334,22643,ACELERADORA DE LA  MUSICA,15000
F01,334,22644,CONSEJO DE CULTURA,5000
F01,334,22677,PROMOCION CORO Y ESCOLANIA,60000
F01,334,22719,MANTENIMIENTO CLIMATIZACION,40000
F01,334,22723,CONTRATO ILUMINACION Y SONIDO TEATRO,95000
F01,334,22748,PROGRAMACION TEATRO MPAL,250000
F01,334,22758,T.R.O.E.P.: CONTRATO SONIDO ACTUACIONES CALLE,50000
F01,334,22765,CONTRATO VENTA DE ENTRADAS DE EVENTOS,20000
F01,334,22768,DIRECCION BANDA MUNICIPAL,20000
F01,334,22771,PROMOCION MUSICAL,160000
F01,334,48029,BECAS FORMACION MUSICAL,20000
F01,334,48030,SUBVENCION MARIA CRISTINA HERREROS FERREIRA,12000
F01,334,62506,INVERSION INSTRUMENTOS Y MATERIAL MUSICAL,20000
F01,338,22401,SEGUROS SUSPENSION DE ACTUACIONES,25000
F01,338,22619,FIESTAS CARNAVALES Y NAVIDAD,250000
F01,338,22623,FIESTAS PATRONALES,500000
F01,338,22678,PROMOCION AGRUPACIONES MUSICALES,20000
F01,338,22730,CONTRATO ILUMINACION FIESTAS,130000
F01,338,22732,CONTRATO FUEGOS ARTIFICIALES,60000
F01,338,22769,CONTRATOS REALIZACION EVENTOS,100000
F01,339,22628,CONCURSO CERTAMENES,70000
F01,339,22629,FESTIVAL  TEATRO DE CALLE,80000
F01,339,22633,FESTIVAL FLAMENCO,60000
F01,339,22634,CINE DE VERANO,36000
F01,339,22666,FESTIVAL CELESTE,40000
F01,3321,12003,SUELDOS DEL GRUPO C1,11040.4
F01,3321,12006,TRIENIOS,4566.66
F01,3321,12100,COMPLEMENTO DE DESTINO,6875.54
F01,3321,12101,COMPLEMENTO ESPECÍFICO,6119.54
F01,3321,13000,RETRIBUCIONES BÁSICAS,187200.11
F01,3321,13002,OTRAS REMUNERACIONES,50195.88
F01,3321,14300,OTRO PERSONAL,14227.64
F01,3321,15000,PRODUCTIVIDAD,29482.32
F01,3321,15200,OTROS INCENTIVOS AL RENDIMIENTO,4078.22
F01,3321,16000,SEGURIDAD SOCIAL,106425.7
F01,3321,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,1159.76
F01,3321,16204,ACCIÓN SOCIAL,3801.87
F01,3321,16205,SEGUROS,848.77
F01,3321,21200,REP. MANT. Y CONSERVACION EDIFICIOS,10000
F01,3321,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",2000
F01,3321,22613,ANIMACION A LA LECTURA,40000
F01,3321,62501,ADQUISICION FONDOS BIBLIOGRAFICOS,50000
F02,432,22652,FOMENTO DEL TURISMO,72000
F02,432,22755,TRABAJOS REALIZADOS POR OTRAS EMPRESAS,162102
F02,432,22784,FESTIVAL RENACENTISTA,85000
F02,432,48031,SUBVENCION SEMINARIO HISTORIA LOCAL,30000
G01,134,22782,ACTUACIONES AGENDA URBANA,242000
G01,170,12004,SUELDOS DEL GRUPO C2,9358
G01,170,12006,TRIENIOS,1402.1
G01,170,12100,COMPLEMENTO DE DESTINO,5822.18
G01,170,12101,COMPLEMENTO ESPECÍFICO,1339.8
G01,170,13000,RETRIBUCIONES BÁSICAS,53425.82
G01,170,13002,OTRAS REMUNERACIONES,16039.1
G01,170,14300,OTRO PERSONAL,4268.29
G01,170,15000,PRODUCTIVIDAD,18871.44
G01,170,15200,OTROS INCENTIVOS AL RENDIMIENTO,463.52
G01,170,16000,SEGURIDAD SOCIAL,36551.14
G01,170,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,704.76
G01,170,16204,ACCIÓN SOCIAL,1140.56
G01,170,16205,SEGUROS,254.63
G01,170,22635,ACTIVIDADES MEDIO AMBIENTE,60000
G01,170,22638,ACTIVIDADES AGENDA 21/ AGENDA 2030,5000
G01,170,22749,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFES.,50000
G01,170,22774,CONTROL  RETIRADA VERTIDOS INCONTROLADOS,150000
G01,170,22787,T.R.O.E.P. PROYECTO EDUCATIVO EFICIENCIA ENERGETICA,30000
G01,170,48003,PROGRAMA 50- 50 CENTROS EDUCATIVOS,15000
G01,170,48014,SUBVENCION A ENTIDADES CONSERVACION,23026.22
G01,171,61902,"ACTUACION EN PARQUES, ZONAS DEP. WORK OUT, Y BIOSALUDABLES",0
G01,171,61903,FUENTES ORNAMENTALES,0
G01,171,61906,MEJORAS ZONAS VERDES Y ELEMENTOS VEGETALES (REPOSICION),0
G01,1623,46300,APORTACIÓN MANCOMUNIDAD GESTIÓN RESIDUOS,350000
G01,1721,62704,Sistema de Control de Contaminación Acústica,0
G01,1721,62705,Instalación de detectores de calidad del aire,0
G01,4310,22788,"ESTUDIOS, TRABAJOS Y CAMPAÑAS MERCADOS SOSTENIBLES",120130.01
G01,4310,62700,INVERSION MERCADOS SOSTENIBLES,380666
G02,422,22663,PROMOCION DE LA INDUSTRIA,40000
G03,134,22664,ACTUACIONES EN MOVILIDAD,60000
G03,134,22665,ACTUACIONES SOSTENIBILIDAD,60000
H01,232,13000,RETRIBUCIONES BÁSICAS,138011.44
H01,232,13002,OTRAS REMUNERACIONES,34485.36
H01,232,14300,OTRO PERSONAL,7113.82
H01,232,15000,PRODUCTIVIDAD,17062.22
