#Econ.,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos
39190,OTRAS MULTAS Y SANCIONES,25000,0,25000,126839.62
39211,RECARGO DE APREMIO,200000,0,200000,346200.45
39300,INTERESES DE DEMORA,200000,0,200000,160160.66
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,30000,0,30000,13868.34
39900,OTROS INGRESOS DIVERSOS,50000,0,50000,136345.65
39901,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,28665.2
39902,INGRESOS EFICIENCIA ENERGÉTICA,0,15000,15000,15000
39903,INGRESOS CONTROL DE CALIDAD,0,0,0,62333.11
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,0,51429.6,51429.6,51429.6
39905,OTROS INGRESOS - AT. PINTO,0,0,0,3500
39907,INGRESOS DIVIDENDOS CANAL ISABEL II,220000,0,220000,205139.04
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,9500000,0,9500000,10468985.49
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000,0,44000,0
45002,TRANSF. CAMP CONVENIO SERVICIOS SOCIALES,424000,0,424000,381519.22
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,100000,0,100000,84650.17
45030,TRANSFER. CAM ESCUELAS INFANTILES,327000,0,327000,346420.7
45034,TRANSFERENCIAS CAM A CONVENIO ABSENTISMO ESCOLAR,6000,0,6000,5609.55
45035,TRANSFER. CAM DEPORTES,10000,0,10000,4972
45036,TRANSFERENCIAS INAP,8000,0,8000,0
45037,TRANSFERENCIAS CONSEJERIA COMUNIDAD DE MADRID A CULTURA,0,0,0,9000
45038,TRANSFERENCIAS SEGURIDAD CIUDADANA,0,0,0,0
45050,TRANSFERENCIAS CAM:PROGR. CUALIF.PROFES.PARA NUEVOS APRENDIC,0,124800,124800,0
45051,TRANSFERENCIAS CAM A PROGRAMAS DE CAPACITACION PROFESIONAL,0,42000,42000,-3317.67
45052,TRANSF. CAM PROGRAMA RECUALIFICACIÓN,0,0,0,93073.03
45053,TRANSF. CAM PROGRAMA INSERCIÓN LABORAL,0,0,0,-32.7
45054,TRANSF.C.MADRID PROYECTO REACTIV.PROF.MAYORES 30 AÑOS,0,46483.18,46483.18,27507.6
45055,TRANSF.C.MADRID PROYECTO CUALIF.PROF. MAYORES 30 AÑOS,0,7000,7000,666.67
45056,TRANSF.C.MADRID PROYECTO ACTIV.PROF.MENORES 30 AÑOS,0,7773.82,7773.82,4584.6
45057,TRANSF.C.MADRID ACCIONES DE FORMACION DE CERTIF.PROFESIONALI,0,9990.93,9990.93,9990.93
45058,TRANSF.C.MADRID-FONDOS BIBLIOGRAFICOS,0,0,0,0
45060,PLAN INVERSION REGIONAL - PIR 2016-2019,0,0,0,443456.75
45061,TRANSFERENCIAS FUNCIONAMIENTO JUZGADO DE PAZ,3000,0,3000,4451
45062,TRANSFERENCIAS CAM BESCAM,1210000,21440,1231440,1837243.69
46600,TRANSFERENCIAS FEMP PROGRAMAS DE SALUD,2000,0,2000,26150.43
46601,TRANSFERENCIAS FEMP PROGRAMAS MAYORES,10000,0,10000,0
52000,INTERESES EN CUENTAS CORRIENTES,200000,0,200000,9490
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,125000,0,125000,132616.05
55500,CONCESIONES ADMINISTRATIVAS,315000,0,315000,311487.08
61900,ENAJENACION PLAZAS APARCAMIENTO MUNICIPALES,140000,0,140000,0
72390,INVERSION MEJORA DEL ALUMBRADO PUBLICO,0,505200,505200,505200
79100,PROGRAMA OPERATIVO FEDER MADRID 2007-2013,0,0,0,33639.56
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,40000,0,40000,31000
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000,0,25000,24040.48
870,Remanente de tesorería,0,0,0,0
87000,Para gastos generales,0,4397450.33,4397450.33,0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0,0,0,0
