#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
33200,TASA POR OCUPACION SUBSUELO Y VUELO DOMINIO PUBLICO,800000,0,800000,550371.15
33800,COMPENSACION TELEFONICA DE ESPAÑA,200000,0,200000,209792.63
33901,TASA POR OCUPACION DOMINIO PUBLICO CON QUIOSCOS,2000,0,2000,1809.19
33904,"TASA POR OCUPACION DOMINIO PUBLICO CON VALLAS, ANDAMIOS, ETC",125000,0,125000,47352.47
33905,TASA POR OCUPACION VIA PUBLICA CON CAJEROS,10000,0,10000,9408.4
33906,TASA PARKING AUTOCARAVANAS,25000,0,25000,23471.56
33907,TASA TAQUILLAS EVENTOS,45000,0,45000,50881.36
34900,ENTRADAS TORRE EBOLI,5000,0,5000,1477.79
34901,SERVICIOS CULTURALES,20000,0,20000,3206
34902,ACTIVIDADES JUVENTUD,5000,0,5000,0
38900,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,34597.27
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,400000,0,400000,191419.74
39190,OTRAS MULTAS Y SANCIONES,100000,0,100000,56067.32
39211,RECARGO DE APREMIO,350000,0,350000,340341.21
39300,INTERESES DE DEMORA,200000,0,200000,224480.68
39710,Otros ingresos por aprovechamientos urbanísticos,0,0,0,313357.58
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,10000,0,10000,35201.69
39900,OTROS INGRESOS DIVERSOS,200000,0,200000,407229.3
39901,ANUNCIOS A CARGO DE PARTICULARES,10000,0,10000,1915.81
39902,INGRESOS EFICIENCIA ENERGÉTICA,10000,0,10000,0
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,57000,0,57000,37035.94
39905,OTROS INGRESOS - AT. PINTO,5000,0,5000,0
39906,INDEMNIZACION SERVIDUMBRE DE VUELO SECTOR 1 INDUSTRIAL,0,0,0,310635.6
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,12175000,0,12175000,13033999.4
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000,0,44000,0
42090,PACTO CONTRA VIOLENCIA DE GENERO,25864,0,25864,20996.45
42200,TRANSF. FEMP PROGRAMAS SALUD,6000,0,6000,0
42201,TRANSF. FEMP PROGRAMAS MAYORES,13000,0,13000,0
45001,TRANSFERENCIAS JUZGADO PAZ,3000,0,3000,2336
45002,TRANSFERENCIAS CONVENIO S. SOCIALES,468286.43,0,468286.43,842548.89
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,138960,0,138960,118651
45030,TRANSFER. CAM ESCUELAS INFANTILES,527407,249030.33,776437.33,1114078.16
45031,TRANSFERENCIAS CAM CONVENIO ABSENTISMO ESCOLAR,8038,0,8038,7546.03
45032,CONVENIO REFUERZO LIJMPIEZA CENTROS EDUCATIVOS POR COVID,0,163625,163625,163625
45050,CONVENIO CAM-  PROYECTO REACT. PROF. MAYOR 30 AÑOS 2020/2021,209075,0,209075,145301.25
45051,TRANSF.CAM PROY.CUAL.PROF. .MAYOR 30 AÑOS 2020/2021,79600,0,79600,42629.14
45052,TRANS.CAM PROY.ACTIV.PROF.MENOR 30 AÑO,60272.41,0,60272.41,126117.87
45053,TRANS.CAM CURSO FORMACION OPERACIONES DE GRAB.Y TRAT.DATOS,39456,0,39456,0
45054,TRANSF.CAM PROY.CUALIF.PROF. MENOR  30 AÑOS,79600,0,79600,159200
45055,TRANS.CAM CURSO FORMACION TECNICO EN SOFTWARE INFORMATICO,53607.6,0,53607.6,0
45056,TRANS.CAM CURSO FORMACION INGLES GESTION COMECIAL,30342.6,0,30342.6,0
45057,TRANS.CAM CURSO FORMAC.ATENCION SOCIOSANIT. A PERSONAS DEPEN,42672,0,42672,0
45058,TRANSF.C.MADRID CUALIF.MAYOR 30 AÑOS CDLD/0041/2021,0,25400,25400,25400
45059,TRANSF.C.MADRID REACTIV.  PROF. MAYOR 30 AÑOS RDLD/0086/2021,0,76057.5,76057.5,76057.5
45060,PLAN DE INVERSIÓN REGIONAL - PIR 2016-2019,709530.8,0,709530.8,709530.8
45061,TRANSFERENCIASCAM BESCAM,1050520,0,1050520,1313150
45062,TRANS.C.MADRID ACTIV. MENOR 30 AÑOS EXP GJADLD/0016/2021,0,15215,15215,0
45063,TRANSF. C. MADRID  CUALIF. MENOR 30 EXPTE GJCDLD/0015/2021,0,11269,11269,0
45080,TRANSFERENCIASCAM DEPORTES,15000,93148.22,108148.22,103320.76
45082,TRANSFERENCIAS CAM FONDOS BIBLIOGRAFICOS,40000,0,40000,24026.53
45083,TRANSF. CAM  A CULTURA,27200,0,27200,0
45084,TRANSFERENCIA CAM ACCIONES FORMATIVAS JUVENTUD,0,0,0,5672
45085,TRANSF CAM GASTOS CORRIENTES ALBERGUE Y COLONIAS FELINAS,0,0,0,13489.9
45086,TRANSF CAM ESPACIOS URBANOS HABILITADOS PARA PERROS,0,0,0,6246.68
45087,CONVENIO ACTUACIONES EN EL MARCO DEL PLAN CORRESPONSABLES,0,0,0,330000
52000,INTERESES EN CUENTAS CORRIENTES,1000,0,1000,0
53410,INGRESOS DIVIDENDOS CANAL ISABEL II,235000,0,235000,148915.15
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,135000,0,135000,110970.78
54101,ARRENDAMIENTOS PLAZAS DE GARAJE,45000,0,45000,41516.47
54102,INGRESOS CONSUMO VIVIENDAS MUNICIPALES,100000,0,100000,21828.91
55000,CONCESIONES ADMINISTRATIVAS,325000,0,325000,282601.48
61900,INDEMNIZACION SERVIDUMBRE DE VUELO SECTOR 1 INDUSTRIAL,0,0,0,0
77000,TRANSFERENCIAS DE CAPITAL SECTOR I,0,0,0,601012.1
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000,0,50000,35750
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000,0,25000,24040.48
83101,REINTEGRO DE PRESTAMOS CONCEDIDO A LA IGLESIA,65217.39,0,65217.39,130434.78
87000,Para gastos generales,0,11506484.47,11506484.47,0
87010,Para gastos con financiación afectada,0,0,0,0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0,0,0,0
