#a,Org.,Pro.,Eco.,Descripción,f,g,h,Créditos Iniciales
,B02,920,62600,MATERIAL INFORMATICO,,,,15000
,B02,920,74000,TRANSFERENCIA DE CAPITAL ASERPINTO,,,,700000
,B02,920,83000,PRESTAMOS C/P AL PERSONAL,,,,50000
,B02,925,13000,RETRIBUCIONES BÁSICAS,,,,121183.11
,B02,925,13002,OTRAS REMUNERACIONES,,,,44224.88
,B02,925,14300,OTRO PERSONAL,,,,8090.16
,B02,925,15000,PRODUCTIVIDAD,,,,18680.9
,B02,925,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,17743.61
,B02,925,16000,SEGURIDAD SOCIAL,,,,71694.05
,B02,925,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,440.86
,B02,925,16204,ACCIÓN SOCIAL,,,,4452
,B02,925,16205,SEGUROS,,,,481.91
,B03,491,13000,RETRIBUCIONES BÁSICAS,,,,91047.9
,B03,491,13002,OTRAS REMUNERACIONES,,,,13816.04
,B03,491,14300,OTRO PERSONAL,,,,4622.95
,B03,491,15000,PRODUCTIVIDAD,,,,20749.56
,B03,491,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,626.09
,B03,491,16000,SEGURIDAD SOCIAL,,,,44245.31
,B03,491,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,615.02
,B03,491,16204,ACCIÓN SOCIAL,,,,1253.56
,B03,491,16205,SEGUROS,,,,137.69
,B03,491,21600,"REPARACIONES, MTO Y CONSERVACION EQUIPOS PROCESOS DE INFORMA",,,,5000
,B03,491,22002,MATERIAL INFORMATICO NO INVENTARIABLE,,,,20000
,B03,491,22736,MANTENIMIENTO APLICACIONES INFORMATICAS,,,,500000
,B03,491,62600,INVERSION EQUIPOS INFORMATICOS,,,,200000
,B03,491,62601,CONEXION NUEVOS EDIFICIOS MUNICIPALES,,,,500000
,B03,491,64100,GTOS. EN APLICACIONES INFORMATICAS,,,,100000
,B04,495,13000,RETRIBUCIONES BÁSICAS,,,,82675.26
,B04,495,13002,OTRAS REMUNERACIONES,,,,12473.72
,B04,495,14300,OTRO PERSONAL,,,,3467.21
,B04,495,15000,PRODUCTIVIDAD,,,,11744.6
,B04,495,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,469.57
,B04,495,15300,COMPLEMENTO DEDICACION ESPECIAL,,,,5428.92
,B04,495,16000,SEGURIDAD SOCIAL,,,,39178.66
,B04,495,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,247.66
,B04,495,16204,ACCIÓN SOCIAL,,,,940.17
,B04,495,16205,SEGUROS,,,,206.53
,B04,495,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,,10000
,B04,495,22622,PUBLICACIONES EN PERIODICOS,,,,5000
,B04,495,22642,PUBLICIDAD INSTITUCIONAL,,,,50000
,B04,495,22690,GASTOS DIVERSOS  PUBLICIDAD INSTITUCIONAL,,,,30000
,B04,495,22738,SERVICIOS DEPARTAMENTO PRENSA,,,,60000
,B04,495,22743,SERVICIOS IMPRESION Y MARKETING DIGITAL,,,,35000
,B04,495,62504,MATERIAL INVENTARIABLE,,,,20000
,C01,011,31000,INTERESES DE PRESTAMOS Y OTRAS OPER. FINANCIERAS EN EUROS,,,,50000
,C01,011,35200,INTERESES DE DEMORA,,,,300000
,C01,011,35900,OTROS GASTOS FINANCIEROS,,,,100000
,C01,011,91100,AMORTIZACION PRESTAMO IDAE.,,,,56133.36
,C01,011,91106,AMORT DE PRÉSTAMOS A L/P  REFINANCIACION FFPP.,,,,1550000
,C01,929,50000,FONDO DE CONTINGENCIA,,,,200000
,C01,931,12000,SUELDOS DEL GRUPO A1,,,,16071.47
,C01,931,12003,SUELDOS DEL GRUPO C1,,,,10823.93
,C01,931,12006,TRIENIOS,,,,11139.06
,C01,931,12100,COMPLEMENTO DE DESTINO,,,,22666.72
,C01,931,12101,COMPLEMENTO ESPECÍFICO,,,,60169.76
,C01,931,13000,RETRIBUCIONES BÁSICAS,,,,100052.24
,C01,931,13002,OTRAS REMUNERACIONES,,,,32764.9
,C01,931,14300,OTRO PERSONAL,,,,8090.16
,C01,931,15000,PRODUCTIVIDAD,,,,26099.5
,C01,931,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,1095.65
,C01,931,16000,SEGURIDAD SOCIAL,,,,81114.79
,C01,931,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,1262.66
,C01,931,16204,ACCIÓN SOCIAL,,,,2193.73
,C01,931,16205,SEGUROS,,,,481.91
,C01,931,23302,INDEMNIZACIONS CONTRATOS SUSPENDIDOS,,,,30000
,C01,934,12000,SUELDOS DEL GRUPO A1,,,,16071.47
,C01,934,12006,TRIENIOS,,,,7851.8
,C01,934,12100,COMPLEMENTO DE DESTINO,,,,14850.81
,C01,934,12101,COMPLEMENTO ESPECÍFICO,,,,48838.86
,C01,934,13000,RETRIBUCIONES BÁSICAS,,,,59988.15
,C01,934,13002,OTRAS REMUNERACIONES,,,,23734.76
,C01,934,14300,OTRO PERSONAL,,,,4622.95
,C01,934,15000,PRODUCTIVIDAD,,,,19565.7
,C01,934,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,626.09
,C01,934,16000,SEGURIDAD SOCIAL,,,,48923.96
,C01,934,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,525.98
,C01,934,16204,ACCIÓN SOCIAL,,,,1253.56
,C01,934,16205,SEGUROS,,,,275.38
,D01,231,12003,SUELDOS DEL GRUPO C1,,,,10823.93
,D01,231,12100,COMPLEMENTO DE DESTINO,,,,6740.79
,D01,231,12101,COMPLEMENTO ESPECÍFICO,,,,5999.56
,D01,231,13000,RETRIBUCIONES BÁSICAS,,,,547172.72
,D01,231,13002,OTRAS REMUNERACIONES,,,,90832.56
,D01,231,14300,OTRO PERSONAL,,,,24270.49
,D01,231,15000,PRODUCTIVIDAD,,,,68168.8
,D01,231,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,3286.96
,D01,231,16000,SEGURIDAD SOCIAL,,,,258187.93
,D01,231,16200,OTROS INCENTIVOS AL RENDIMIENTO,,,,4298.42
,D01,231,16204,ACCIÓN SOCIAL,,,,12642.82
,D01,231,16205,SEGUROS,,,,1308.04
,D01,231,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,10000
,D01,231,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,10000
,D01,231,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,,,,200000
,D01,231,22101,SUMINISTROS: AGUA,,,,10000
,D01,231,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10000
,D01,231,22201,POSTALES,,,,15000
,D01,231,22718,MANTENIMIENTO ASCENSORES,,,,3000
,D01,231,22719,MANTENIMIENTO CLIMATIZACION,,,,20000
,D01,231,22722,CONTRATOS  ATENCION DOMICIL.  (COMIDA A DOMICILIO),,,,110500
,D01,231,22724,T.R.O.E.P.: SERVICIO TELEASISTENCIA,,,,60000
,D01,231,22725,TRABAJOS EMPRESAS Y PROF: PROGRAMA DE FAMILIA,,,,200000
,D01,231,22726,CONTRATO SERVICIO AYUDA A DOMICILIO,,,,330000
,D01,231,22727,T.R.O.E.P.:AUTONOMÍA PERSONAL,,,,100000
,D01,231,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFES.,,,,30000
,D01,231,48002,CONVENIO CARITAS DIOCESANA DE GETAFE,,,,20000
,D01,231,48015,CONVENIO CRUZ ROJA ESPAÑOLA,,,,20000
,D01,231,48018,EMERGENCIA SOCIAL,,,,450000
,D01,231,48021,AYUDAS MEJORA HABITABILIDAD,,,,12000
,D02,327,22662,ACTIVIDADES MEMORIA DEMOCRATICA,,,,15000
,D02,327,22777,CONTRATOS MEMORIA DEMOCRATICA,,,,15000
,D03,924,13000,RETRIBUCIONES BÁSICAS,,,,21921.99
,D03,924,13002,OTRAS REMUNERACIONES,,,,5999.56
,D03,924,14300,OTRO PERSONAL,,,,1155.74
,D03,924,15000,PRODUCTIVIDAD,,,,2961.14
,D03,924,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,1143.52
,D03,924,16000,SEGURIDAD SOCIAL,,,,11176.87
,D03,924,16204,ACCIÓN SOCIAL,,,,313.39
,D03,924,16205,SEGUROS,,,,68.84
,D03,924,22616,PUNTO DE INFORMACIÓN ASOCIATIVA,,,,3000
,D03,924,22621,ACTIVIDADES DE PARTICIPACION CIUDADANA,,,,20000
,D03,924,48011,CONVENIO ALCOHOLICOS REHABILITADOS ASOC. PINTO- ARAP,,,,5000
,D03,924,48013,CONVENIO ASOC. FIBROMIALGIA AFECTADOS DE PINTO-AFAP,,,,5000
,D03,924,48024,AYUDAS Y SUBVE. A ORGANIZACIONES VECINALES,,,,150000
,E01,320,13000,RETRIBUCIONES BÁSICAS,,,,124990.1
,E01,320,13002,OTRAS REMUNERACIONES,,,,25983.44
,E01,320,14300,OTRO PERSONAL,,,,6934.43
,E01,320,15000,PRODUCTIVIDAD,,,,30821.94
,E01,320,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,1465.11
,E01,320,16000,SEGURIDAD SOCIAL,,,,64105.24
,E01,320,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,1386.14
,E01,320,16204,ACCIÓN SOCIAL,,,,1880.34
,E01,320,16205,SEGUROS,,,,413.07
,E01,320,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,5000
,E01,320,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,10000
,E01,320,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,,,,10000
,E01,320,22101,SUMINISTROS: AGUA,,,,5000
,E01,320,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10000
,E01,320,22201,POSTALES,,,,10000
,E01,320,22718,MANTENIMIENTO ASCENSORES,,,,3000
,E01,320,22719,MANTENIMIENTO CLIMATIZACION,,,,10000
,E01,320,22729,CONTRATO SERVICIO ACTIVIDADES EXTRAESCOLARES Y HORARIO AMPLI,,,,610000
,E01,320,22746,CONTRATO GESTION LUDOTECA MPAL,,,,247500
,E01,320,42200,CONVENIO UNED,,,,12000
,E01,320,48009,CONVENIO ABSENTISMO ESCOLAR,,,,7919.33
,E01,320,48019,PROGRAMA MUNICIPAL DE APOYO A LA ESCOLARIDAD,,,,150000
,E01,323,13000,RETRIBUCIONES BÁSICAS,,,,349011.15
,E01,323,13002,OTRAS REMUNERACIONES,,,,122070.76
,E01,323,14300,OTRO PERSONAL,,,,21959.02
,E01,323,15000,PRODUCTIVIDAD,,,,69134.16
,E01,323,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,2973.91
,E01,323,16000,SEGURIDAD SOCIAL,,,,190242.34
,E01,323,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,2805.88
,E01,323,16204,ACCIÓN SOCIAL,,,,5954.42
,E01,323,16205,SEGUROS,,,,1170.36
,E01,323,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,5000
,E01,323,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,40000
,E01,323,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,,,,190000
,E01,323,22101,SUMINISTROS: AGUA,,,,35000
,E01,323,22102,SUMINISTROS: GAS,,,,120000
,E01,323,22128,MATERIAL DE EDUCACION,,,,5000
,E01,323,22200,SERVICIOS DE TELECOMUNICACIONES,,,,5000
,E01,323,22718,MANTENIMIENTO ASCENSORES,,,,9000
,E01,323,22719,MANTENIMIENTO CLIMATIZACION,,,,30000
,E01,323,22728,CONTRATO MANUTENCION NIÑOS E. INFANTIL,,,,150000
,E01,323,22793,CONTRATO SUMINISTRO PRODUCTOS FARMACEUTICOS,,,,5000
,E01,323,48006,TRANSFERENCIAS ESCUELAS INFANTILES,,,,612331.16
,E01,326,13000,RETRIBUCIONES BÁSICAS,,,,26133.39
,E01,326,13002,OTRAS REMUNERACIONES,,,,3606.68
,E01,326,14300,OTRO PERSONAL,,,,1155.74
,E01,326,15000,PRODUCTIVIDAD,,,,3899.14
,E01,326,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,156.52
,E01,326,16000,SEGURIDAD SOCIAL,,,,11766.12
,E01,326,16204,ACCIÓN SOCIAL,,,,313.39
,E01,326,16205,SEGUROS,,,,68.84
,E02,241,13000,RETRIBUCIONES BÁSICAS,,,,74250.5
,E02,241,13002,OTRAS REMUNERACIONES,,,,21588.42
,E02,241,14300,OTRO PERSONAL,,,,3467.21
,E02,241,14307,SALARIOS PROY. ACTIVACION MENOR 30 AÑOS,,,,50990.93
,E02,241,14308,SALARIO PROY. REACTIV. MAYOR 30 AÑOS-,,,,171887.31
,E02,241,14309,SALARIOS PROY. CUALIFIC. MENOR 30 AÑOS,,,,61224
,E02,241,14310,SALARIOS PRO. CUALIF. MAYOR 30 AÑOS,,,,61224
,E02,241,15000,PRODUCTIVIDAD,,,,9863.56
,E02,241,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,469.57
,E02,241,16000,SEGURIDAD SOCIAL,,,,36259.09
,E02,241,16200,SEGURIDAD SOCIAL,,,,1465.94
,E02,241,16204,ACCIÓN SOCIAL,,,,940.17
,E02,241,16205,SEGUROS,,,,206.53
,E02,241,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,10000
,E02,241,22102,SUMINISTROS: GAS,,,,5000
,E02,241,22121,GTOS. DIVERSOS REACTIV. MAYORES 30 AÑOS,,,,600
,E02,241,22201,POSTALES,,,,5000
,E02,241,22711,FORMACION PROY ACTIV. MAYORES 30 AÑOS,,,,7200
,E02,241,22712,PROGRAMA ACTIVACION MENORES,,,,2160
,E02,241,22713,FORMACION PROY CUALIF MENORES 30 AÑOS,,,,15600
,E02,241,22717,FORM. PROY. CUALIF. MAYORES 30 AÑOS,,,,15600
,E02,241,22719,MANTENIMIENTO CLIMATIZACION,,,,8000
,E02,241,22721,ESTUDIO SOCIODEMOGRAFICO,,,,30000
,E02,241,22731,TALLERES EMPLEABILIDAD,,,,19000
,E02,241,22734,AGENCIA COLOCACION,,,,5000
,E02,241,22764,CONTRATOS PROGRAMA DE GRABACION Y TRATAMIENTO DATOS Y DOCUME,,,,19800
,E02,241,22766,CONTRATOS PROGRAMA ATENC. SOCIOSANITARIA A PERSONAS DEPENDIE,,,,20250
,E02,241,22767,CONTRATOS PROGRAMA TECNICO DE SOFTWARE INFORMATICO,,,,19325
,E02,241,22768,CONTRATOS PROGRAMA INGLES GESTION COMERCIAL,,,,15000
,E02,241,22769,GASTOS EJECUCION PROGRAMA DE GRABACION Y TRAT. DATOS,,,,19656
,E02,241,22771,GASTOS DE EJECUCION PROGRAMA TECNICO DE SOFTWARE INFORMATICO,,,,34282.6
,E02,241,22772,GASTOS EJECUCION PROGRAMA INGLES COMERCIAL,,,,15342.6
,E02,241,22773,GASTOS EJECUCION PROGRAMA ATENC SOCIOSANITA A PERSONAS DEPEN,,,,22422
,E03,234,12003,SUELDOS DEL GRUPO C1,,,,10823.93
,E03,234,12100,COMPLEMENTO DE DESTINO,,,,6740.79
,E03,234,12101,COMPLEMENTO ESPECÍFICO,,,,5999.56
,E03,234,13000,RETRIBUCIONES BÁSICAS,,,,27057.68
,E03,234,13002,OTRAS REMUNERACIONES,,,,2761.78
,E03,234,14300,OTRO PERSONAL,,,,2311.48
,E03,234,15000,PRODUCTIVIDAD,,,,6379.52
,E03,234,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,313.04
,E03,234,16000,SEGURIDAD SOCIAL,,,,22048.66
,E03,234,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,870.52
,E03,234,16204,ACCIÓN SOCIAL,,,,2885.04
,E03,234,16205,SEGUROS,,,,68.84
,E03,234,22637,ACTIVIDADES JUVENTUD E INFANCIA,,,,30000
,E03,234,22660,CONSEJO JUVENTUD E INFANCIA,,,,15000
,E03,234,22733,PLAN DE JUVENTUD E INFANCIA,,,,40000
,E03,234,22745,CONTRATO CAMPAMENTO URBANO,,,,300000
,E03,234,22786,T.R.O.E.P. PROGRAMAS DE JUVENTUD E INFANCIA,,,,130000
,E03,234,48005,PREMIOS JUVENTUD E INFANCIA,,,,5000
,F01,333,13000,RETRIBUCIONES BÁSICAS,,,,401553.02
,F01,333,13002,OTRAS REMUNERACIONES,,,,90560.26
,F01,333,14300,OTRO PERSONAL,,,,23114.75
,F01,333,15000,PRODUCTIVIDAD,,,,84232.12
,F01,333,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,3130.43
,F01,333,16000,SEGURIDAD SOCIAL,,,,203345.96
,F01,333,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,619.78
,F01,333,16204,ACCIÓN SOCIAL,,,,6267.81
,F01,333,16205,SEGUROS,,,,1170.36
,F01,333,22615,GASTOS ESCUELA MUSICA,,,,15000
,F01,333,62500,INVERSION EN INSTRUMENTOS Y EQUIPAMIENTO ESCUELA MUSICA,,,,50000
,F01,334,12001,SUELDOS DEL GRUPO A2,,,,14132.34
,F01,334,12006,TRIENIOS,,,,4803.12
,F01,334,12100,COMPLEMENTO DE DESTINO,,,,8936.11
,F01,334,12101,COMPLEMENTO ESPECÍFICO,,,,15145.9
,F01,334,13000,RETRIBUCIONES BÁSICAS,,,,176944.47
,F01,334,13002,OTRAS REMUNERACIONES,,,,44638.16
,F01,334,14300,OTRO PERSONAL,,,,10401.64
,F01,334,15000,PRODUCTIVIDAD,,,,38286.56
,F01,334,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,3424.7
,F01,334,15300,COMPLEMENTO DEDICACION ESPECIAL,,,,15146.76
,F01,334,16000,SEGURIDAD SOCIAL,,,,110538.55
,F01,334,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,1883.98
,F01,334,16204,ACCIÓN SOCIAL,,,,2820.51
,F01,334,16205,SEGUROS,,,,619.6
,F01,334,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,10000
,F01,334,20900,CÁNONES.,,,,15000
,F01,334,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,15000
,F01,334,22100,SUMINISTROS. ENERGÍA ELÉCTRICA,,,,150000
,F01,334,22101,SUMINISTROS: AGUA,,,,15000
,F01,334,22102,SUMINISTROS: GAS,,,,10000
,F01,334,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10000
,F01,334,22201,POSTALES,,,,10000
,F01,334,22618,PROMOCION CULTURAL,,,,80000
,F01,334,22620,PROMOCION BANDA MPAL Y CORO,,,,56000
,F01,334,22630,CULTURA VECINAL Y CULTURA ABIERTA,,,,30000
,F01,334,22636,CULTURA DE VERANO,,,,50000
,F01,334,22643,ACELERADORA DE LA  MUSICA,,,,10000
,F01,334,22644,CONSEJO DE CULTURA,,,,5000
,F01,334,22719,MANTENIMIENTO CLIMATIZACION,,,,40000
,F01,334,22723,CONTRATO ILUMINACION Y SONIDO TEATRO,,,,95000
,F01,334,22748,PROGRAMACION TEATRO MPAL,,,,220000
,F01,334,22758,T.R.O.E.P.: CONTRATO SONIDO ACTUACIONES CALLE,,,,35000
,F01,334,22765,CONTRATO VENTA DE ENTRADAS DE EVENTOS,,,,19091.92
,F01,334,62900,INVERSION ELEMENTOS CABALGATA,,,,50000
,F01,338,22401,SEGUROS SUSPENSION DE ACTUACIONES,,,,10000
,F01,338,22619,FIESTAS CARNAVALES Y NAVIDAD,,,,100000
,F01,338,22623,FIESTAS PATRONALES,,,,260000
,F01,338,22730,CONTRATO ILUMINACION FIESTAS,,,,80000
,F01,338,22732,CONTRATO FUEGOS ARTIFICIALES,,,,45000
,F01,339,22628,CONCURSO CERTAMENES,,,,80000
,F01,339,22629,FESTIVAL  TEATRO DE CALLE,,,,80000
,F01,339,22631,MURALISMO CULTURAL JUVENIL,,,,40000
,F01,339,22633,FESTIVAL FLAMENCO,,,,35000
,F01,339,22634,CINE DE VERANO,,,,36000
,F01,339,22666,FESTIVAL CELESTE,,,,50000
,F01,3321,12003,SUELDOS DEL GRUPO C1,,,,10823.93
,F01,3321,12006,TRIENIOS,,,,4128.8
,F01,3321,12100,COMPLEMENTO DE DESTINO,,,,6740.79
,F01,3321,12101,COMPLEMENTO ESPECÍFICO,,,,5999.56
,F01,3321,13000,RETRIBUCIONES BÁSICAS,,,,185450.25
,F01,3321,13002,OTRAS REMUNERACIONES,,,,49212.66
,F01,3321,14300,OTRO PERSONAL,,,,11557.38
,F01,3321,15000,PRODUCTIVIDAD,,,,28904.96
,F01,3321,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,4048.82
,F01,3321,16000,SEGURIDAD SOCIAL,,,,105844.37
,F01,3321,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,1137.5
,F01,3321,16204,ACCIÓN SOCIAL,,,,9157.88
,F01,3321,16205,SEGUROS,,,,688.44
,F01,3321,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,10000
,F01,3321,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,,5000
,F01,3321,22613,ANIMACION A LA LECTURA,,,,50000
,F01,3321,62501,ADQUISICION FONDOS BIBLIOGRAFICOS,,,,40000
,F02,432,22652,FOMENTO DEL TURISMO,,,,50000
,F02,432,22755,TRABAJOS REALIZADOS POR OTRAS EMPRESAS,,,,71700
,F02,432,22784,FESTIVAL RENACENTISTA,,,,32000
,G01,170,12004,SUELDOS DEL GRUPO C2,,,,9174.59
,G01,170,12006,TRIENIOS,,,,1374.46
,G01,170,12100,COMPLEMENTO DE DESTINO,,,,5708.03
,G01,170,12101,COMPLEMENTO ESPECÍFICO,,,,1313.62
,G01,170,13000,RETRIBUCIONES BÁSICAS,,,,52177.25
,G01,170,13002,OTRAS REMUNERACIONES,,,,15724.8
,G01,170,14300,OTRO PERSONAL,,,,3467.21
,G01,170,15000,PRODUCTIVIDAD,,,,18501.56
,G01,170,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,469.57
,G01,170,16000,SEGURIDAD SOCIAL,,,,35590.31
,G01,170,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,691.04
,G01,170,16204,ACCIÓN SOCIAL,,,,940.17
,G01,170,16205,SEGUROS,,,,206.53
,G01,170,22635,ACTIVIDADES MEDIO AMBIENTE,,,,40000
