#Eco.,Descripción,Previsiones Iniciales
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000
42090,PACTO CONTRA VIOLENCIA DE GENERO,25864
42200,TRANSF. FEMP PROGRAMAS SALUD,6000
42201,TRANSF. FEMP PROGRAMAS MAYORES,13000
45001,TRANSFERENCIAS JUZGADO PAZ,3000
45002,TRANSFERENCIAS CONVENIO S. SOCIALES,468286.43
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,138960
45030,TRANSFER. CAM ESCUELAS INFANTILES,527407
45031,TRANSFERENCIAS CAM CONVENIO ABSENTISMO ESCOLAR,8038
45032,CONVENIO REFUERZO LIJMPIEZA CENTROS EDUCATIVOS POR COVID,0
45050,CONVENIO CAM-  PROYECTO REACT. PROF. MAYOR 30 AÑOS 2020/2021,209075
45051,TRANSF.CAM PROY.CUAL.PROF. .MAYOR 30 AÑOS 2020/2021,79600
45052,TRANS.CAM PROY.ACTIV.PROF.MENOR 30 AÑO,60272.41
45053,TRANS.CAM CURSO FORMACION OPERACIONES DE GRAB.Y TRAT.DATOS,39456
45054,TRANSF.CAM PROY.CUALIF.PROF. MENOR  30 AÑOS,79600
45055,TRANS.CAM CURSO FORMACION TECNICO EN SOFTWARE INFORMATICO,53607.6
45056,TRANS.CAM CURSO FORMACION INGLES GESTION COMECIAL,30342.6
45057,TRANS.CAM CURSO FORMAC.ATENCION SOCIOSANIT. A PERSONAS DEPEN,42672
45060,PLAN DE INVERSIÓN REGIONAL - PIR 2016-2019,709530.8
45061,TRANSFERENCIASCAM BESCAM,1050520
45080,TRANSFERENCIASCAM DEPORTES,15000
45082,TRANSFERENCIAS CAM FONDOS BIBLIOGRAFICOS,40000
45083,TRANSF. CAM  A CULTURA,27200
45084,TRANSFERENCIA CAM ACCIONES FORMATIVAS JUVENTUD,0
52000,INTERESES EN CUENTAS CORRIENTES,1000
53410,INGRESOS DIVIDENDOS CANAL ISABEL II,235000
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,135000
54101,ARRENDAMIENTOS PLAZAS DE GARAJE,45000
54102,INGRESOS CONSUMO VIVIENDAS MUNICIPALES,100000
55000,CONCESIONES ADMINISTRATIVAS,325000
61900,INDEMNIZACION SERVIDUMBRE DE VUELO SECTOR 1 INDUSTRIAL,0
77000,TRANSFERENCIAS DE CAPITAL SECTOR I,0
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000
83101,REINTEGRO DE PRESTAMOS CONCEDIDO A LA IGLESIA,65217.39
87000,Para gastos generales,0
87010,Para gastos con financiación afectada,0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0
