#a,Org.,Pro.,Eco.,Descripción,f,g,h,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,A,231,22105,ADQUISICIONES BANCO ALIMENTOS MUNICIPAL COVID 19,,,,0,104000,104000,103858.97
,A,231,22640,ADQUISICION MEDIOS DEPROTECCION COVID 19,,,,0,192000,192000,120427.91
,A,231,22641,MATERIAL DE APOYO EDUCATIVO A MENORES VULNERABLES COVID 19,,,,0,4000,4000,0
,A,231,22722,CONTRATOS SERVICIO ATENCION DOMICIL. A MAYORES COVID 19,,,,0,72930,72930,47257.56
,A,231,22731,PROGRAMA EDUCATIVO A MENORES VULNERABLES COVID 19,,,,0,17436.1,17436.1,10029.69
,A,231,48015,CONVENIO ATENCION PERSONAS VULNERABLES COVID 19- CRUZ ROJA,,,,0,20000,20000,20000
,A,231,48016,CONVENIO ATENCION PERSONAS VULNERABLES COVID 19- CARITAS,,,,0,20000,20000,20000
,A,241,13000,RETRIBUCIONES BÁSICAS,,,,80000,0,80000,54396.51
,A,241,13002,OTRAS REMUNERACIONES,,,,24000,0,24000,13940.8
,A,241,14300,OTRO PERSONAL,,,,150000,-141346.57,8653.43,0
,A,241,14301,SUELDOS PROY ACTIV..PROF.MENOR 30 AÑOS EX GJADLD/0020/2019,,,,0,51175.92,51175.92,50981.73
,A,241,14304,SALARIO PROY.CUALIF.MENOR 30 AÑOS EXP. GJCDLD/0012/2019,,,,0,52750.6,52750.6,54034.4
,A,241,14305,SALARIOS PROY.CUALIF.MAYOR 30 AÑOS EX.CDLD/0046/2019,,,,0,63000,63000,70916.8
,A,241,14306,SALARIOS PROY.REAC..PROF.MAYOR 30 AÑOS RDLD/0085/2019,,,,0,146718.1,146718.1,116546.25
,A,241,14307,SALARIOS PROY. ACTIVACION MENOR 30 AÑOS EXP GJADLD/0082/2020,,,,0,8755.17,8755.17,8805.18
,A,241,14308,SALARIO PROY. REACTIV. MAYOR 30 AÑOS- EXP RDLD/129/2020,,,,0,45615.93,45615.93,40708.29
,A,241,14309,SALARIOS PROY. CUALIFIC. MENOR 30 AÑOS EXP GJCDLD/0037/2020,,,,0,7653,7653,0
,A,241,14310,SALARIOS PRO. CUALIF. MAYOR 30 AÑOS EXP RDLD/0053/2020,,,,0,7653,7653,0
,A,241,15000,PRODUCTIVIDAD,,,,11000,0,11000,6394.1
,A,241,16000,SEGURIDAD SOCIAL,,,,54000,96984.81,150984.81,48057.04
,A,241,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,1000,0,1000,951.03
,A,241,16204,ACCIÓN SOCIAL,,,,4000,0,4000,267.89
,A,241,16205,SEGUROS,,,,400,0,400,316.51
,A,241,16209,OTROS GASTOS SOCIALES,,,,400,0,400,291.93
,A,241,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,11000,-5000,6000,5708.44
,A,241,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,29000,-28000,1000,0
,A,241,22101,SUMINISTROS: AGUA,,,,36500,-30000,6500,1363.36
,A,241,22102,GAS,,,,2400,0,2400,3559.73
,A,241,22120,GTOS. DIVERSOS CUALIF. MAYORES 30 AÑOS CDLD/0049/2019,,,,0,1950,1950,0
,A,241,22121,GTOS. DIVERSOS REACTIV. MAYORES 30 AÑOS RDLD/0085/2019,,,,0,2600,2600,0
,A,241,22123,MATERIAL PROYECTO CERTIF.PROFES.OPERACIONES GRABACION  DATOS,,,,0,600,600,0
,A,241,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10800,0,10800,9396.26
,A,241,22201,POSTALES,,,,5000,0,5000,5578.78
,A,241,22690,GASTOS DIVERSOS,,,,10000,-4000,6000,3606.65
,A,241,22713,FORMACION PROY CUALIF MENORES 30 AÑOS EXP. GJCDLD/0012/2019,,,,0,20800,20800,4524.08
,A,241,22717,FORM. PROY. CUALIF. MAYORES 30 AÑOS- CDLD/0046/2019,,,,0,14418,14418,10368
,A,241,22718,MANTENIMIENTO ASCENSORES,,,,2500,0,2500,2443.44
,A,241,22719,MANTENIMIENTO CLIMATIZACION,,,,8000,0,8000,6395.04
,A,241,22733,FORMAC.PRO.CUALIF.  MAYOR 30 AÑOS CDLD/0046/2019,,,,0,6750,6750,6333.64
,A,241,22760,FORMAC TRANSV PROY ACTIV.PROF.MENOR 30 AÑOS GJADLD/0082/2020,,,,0,2160,2160,1898
,A,241,22761,FORMAC PROYECTO REACTIV.MAYOR 30 AÑOS EXP RDLD/129/2020,,,,0,7200,7200,7020
,A,241,22762,FORMACION .PROY CUALIF. MENOR 30 AÑOS GJCDLD/0037/2020,,,,0,15600,15600,5577
,A,241,22763,FORMACION .PROY CUALIF. MAYOR 30 AÑOS EXP CDLD/0053/2020,,,,0,14400,14400,2592
,A,320,12004,SUELDOS DEL GRUPO C2,,,,9000,0,9000,424639.03
,A,320,12006,TRIENIOS,,,,3000,0,3000,0
,A,320,12100,COMPLEMENTO DE DESTINO,,,,6000,0,6000,0
,A,320,12101,COMPLEMENTO ESPECÍFICO,,,,5000,0,5000,0
,A,320,13000,RETRIBUCIONES BÁSICAS,,,,135000,0,135000,100695.9
,A,320,13002,OTRAS REMUNERACIONES,,,,18000,0,18000,17149.92
,A,320,15000,PRODUCTIVIDAD,,,,30000,0,30000,24464.07
,A,320,16000,SEGURIDAD SOCIAL,,,,64000,0,64000,56956.5
,A,320,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,2000,0,2000,803.08
,A,320,16204,ACCIÓN SOCIAL,,,,5000,0,5000,217.96
,A,320,16205,SEGUROS,,,,400,0,400,316.51
,A,320,16209,OTROS GASTOS SOCIALES,,,,300,0,300,269.64
,A,320,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,1500,-600,900,821.11
,A,320,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,2000,0,2000,2215.88
,A,320,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,17000,-16000,1000,0
,A,320,22101,SUMINISTROS: AGUA,,,,800,0,800,2287.39
,A,320,22200,SERVICIOS DE TELECOMUNICACIONES,,,,4500,0,4500,3425.39
,A,320,22201,POSTALES,,,,5000,0,5000,5578.78
,A,320,22699,OTROS GASTOS DIVERSOS,,,,36000,-20000,16000,10553.41
,A,320,22718,MANTENIMIENTO ASCENSORES,,,,2500,0,2500,2846.29
,A,320,22719,MANTENIMIENTO CLIMATIZACION,,,,5000,0,5000,7147.61
,A,320,22745,CONTRATO CAMPAMENTO URBANO,,,,70000,0,70000,0
,A,320,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,,,,5000,0,5000,10043
,A,320,42200,CONVENIO UNED,,,,20000,-8000,12000,11221.27
,A,320,48009,CONVENIO ABSENTISMO ESCOLAR,,,,5000,0,5000,0
,A,320,48019,PROGRAMA MUNICIPAL DE APOYO A LA ESCOLARIDAD,,,,40000,87000,127000,61833.69
,A,334,12003,SUELDOS DEL GRUPO C1,,,,12000,0,12000,25633.33
,A,334,12004,SUELDOS DEL GRUPO C2,,,,9000,0,9000,0
,A,334,12006,TRIENIOS,,,,6000,0,6000,7276.01
,A,334,12100,COMPLEMENTO DE DESTINO,,,,14000,0,14000,13767.75
,A,334,12101,COMPLEMENTO ESPECÍFICO,,,,19000,0,19000,19070
,A,334,13000,RETRIBUCIONES BÁSICAS,,,,309000,0,309000,361871.19
,A,334,13002,OTRAS REMUNERACIONES,,,,88000,0,88000,93373.9
,A,334,15000,PRODUCTIVIDAD,,,,53000,0,53000,62512.43
,A,334,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,26000,0,26000,21918.98
,A,334,16000,SEGURIDAD SOCIAL,,,,164000,0,164000,145951.01
,A,334,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,2000,0,2000,2067.67
,A,334,16204,ACCIÓN SOCIAL,,,,17000,0,17000,12807.16
,A,334,16205,SEGUROS,,,,1400,0,1400,1107.81
,A,334,16209,OTROS GASTOS SOCIALES,,,,1200,0,1200,791.24
,A,334,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,16000,-5000,11000,8757.07
,A,334,20900,CÁNONES.,,,,4000,0,4000,1946.17
,A,334,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,46000,0,46000,16856.6
,A,334,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,,10000,19083.93,29083.93,25789.75
,A,334,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,230700,-140000,90700,109671.63
,A,334,22101,SUMINISTROS: AGUA,,,,19700,0,19700,13878.27
,A,334,22102,GAS,,,,29500,-7329.12,22170.88,9885
,A,334,22103,COMBUSTIBLES Y CARBURANTES,,,,1000,0,1000,0
,A,334,22200,SERVICIOS DE TELECOMUNICACIONES,,,,11500,0,11500,10096.26
,A,334,22201,POSTALES,,,,5000,0,5000,5578.78
,A,334,22401,SEGUROS SUSPENSION DE ACTUACIONES,,,,3000,0,3000,0
,A,334,22609,FESTEJOS TAURINOS,,,,25000,0,25000,0
,A,334,22613,ANIMACION A LA LECTURA,,,,10000,0,10000,5346.5
,A,334,22618,PINTO VERANO,,,,25000,-9000,16000,5060
,A,334,22619,FIESTAS CARNAVALES Y NAVIDAD,,,,40000,0,40000,75404.79
,A,334,22620,PROMOCION BANDA MPAL Y CORO,,,,50000,-5000,45000,15340.72
,A,334,22623,FIESTAS PATRONALES,,,,150000,-103546.4,46453.6,1843.1
,A,334,22628,VIVE LA NAVIDAD,,,,15000,-13000,2000,15177.65
,A,334,22630,PROGRAMACION SOCIOCULTURAL,,,,21000,0,21000,12185.26
,A,334,22690,GASTOS DIVERSOS,,,,8000,0,8000,8301.22
,A,334,22718,MANTENIMIENTO ASCENSORES,,,,10000,0,10000,6224.22
,A,334,22719,MANTENIMIENTO CLIMATIZACION,,,,24000,0,24000,26417.01
,A,334,22723,CONTRATO ILUMINACION Y SONIDO TEATRO,,,,30000,0,30000,49388.57
,A,334,22730,CONTRATO ILUMINACION FIESTAS,,,,30000,0,30000,30000
,A,334,22732,CONTRATO FUEGOS ARTIFICIALES,,,,20000,-5000,15000,0
,A,334,22748,PROGRAMACION TEATRO MPAL,,,,50000,0,50000,82484.38
,A,334,22753,PROMOCIÓN DEL COMERCIO Y PYMES,,,,50000,-4000,46000,18271.49
,A,334,22755,T.R.O.E.P.: FESTIVAL RENACENTISTA,,,,20000,0,20000,5163
,A,334,22756,T.R.O.E.P.: :DIFUSIÓN PATRIMONIO HISTÓRICO,,,,20000,0,20000,9758.99
,A,334,22757,T.R.O.E.P.: DIFUSIÓN,,,,25000,-8000,17000,5500
,A,334,22758,T.R.O.E.P.: CONTRATO SONIDO ACTUACIONES CALLE,,,,30000,0,30000,1331
,A,334,22759,T.R.O.E.P.: AGENDA 21 CULTURAL,,,,10000,-10000,0,0
,A,334,22765,CONTRATO VENTA DE ENTRADAS DE EVENTOS,,,,0,21780,21780,1018.5
,A,334,48007,"CONVENIO  """"ASOCIACION YO TAMBIEN TE CREO""""",,,,0,972.4,972.4,972.4
,A,334,48008,"CONVENIO"""" DEDINES""""",,,,0,2574,2574,2574
,A,341,13000,RETRIBUCIONES BÁSICAS,,,,456000,0,456000,436206.71
,A,341,13002,OTRAS REMUNERACIONES,,,,178000,0,178000,133182.56
,A,341,15000,PRODUCTIVIDAD,,,,75000,0,75000,57977.55
,A,341,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,32000,0,32000,30613.61
,A,341,16000,SEGURIDAD SOCIAL,,,,243000,0,243000,216256.71
,A,341,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,3000,0,3000,1389.02
,A,341,16204,ACCIÓN SOCIAL,,,,5000,0,5000,1750.27
,A,341,16205,SEGUROS,,,,2400,0,2400,1899.09
,A,341,16209,OTROS GASTOS SOCIALES,,,,1000,0,1000,625.79
,A,341,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,38850,-16000,22850,21576.4
,A,341,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,22000,0,22000,15552.89
,A,341,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,373000,-60000,313000,274875.67
,A,341,22101,SUMINISTROS: AGUA,,,,160000,-79331.16,80668.84,109929.01
,A,341,22102,GAS,,,,111000,-49000,62000,39784.05
,A,341,22104,VESTUARIO,,,,2000,0,2000,4006.43
,A,341,22116,TROFEOS DEPORTIVOS,,,,12000,0,12000,0
,A,341,22119,MATERIAL TECNICO DEPORTIVO,,,,40000,0,40000,11956.25
,A,341,22200,SERVICIOS DE TELECOMUNICACIONES,,,,8000,0,8000,6736.22
,A,341,22201,POSTALES,,,,5000,0,5000,5578.78
,A,341,22402,SEGUROS DEPORTIVOS,,,,60000,0,60000,58114.17
,A,341,22690,GASTOS DIVERSOS,,,,6000,-6000,0,0
,A,341,22718,MANTENIMIENTO ASCENSORES,,,,3750,0,3750,3324.54
,A,341,22719,MANTENIMIENTO CLIMATIZACION,,,,25000,0,25000,27553.98
,A,341,22735,ARBITRAJES Y COORDINACION,,,,10000,0,10000,2024.5
,A,341,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,,,,2000,0,2000,0
,A,341,23120,DEL PERSONAL NO DIRECTIVO,,,,1000,0,1000,318.72
,A,341,44900,ENCOMIENDA GESTION INSTALACIONES DEPORTIVAS,,,,0,218329.12,218329.12,218329.12
,A,341,48001,FOMENTO DEPORTE ESCOLAR,,,,10000,-5000,5000,2300
,A,341,48004,FOMENTO DEPORTE,,,,20000,-18000,2000,1800
,A,341,48904,PROGRAMAS DEPORTIVOS Y ACTIVIDADES,,,,70000,50995.16,120995.16,61223.06
,A,342,63205,REDACCION PROYECTO Y ASIS. TECNICA REP. CUBIERTA PABELLON P.,,,,0,11977.79,11977.79,2994.39
,A,342,63209,ARREGLOS SKATE PARQUE J. CARLOS I,,,,0,145496.91,145496.91,145496.91
,A,2311,13000,RETRIBUCIONES BÁSICAS,,,,513000,0,513000,585552.61
,A,2311,13002,OTRAS REMUNERACIONES,,,,107000,0,107000,88134.17
,A,2311,15000,PRODUCTIVIDAD,,,,67000,0,67000,61660.78
,A,2311,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,5000,0,5000,4760.59
,A,2311,16000,SEGURIDAD SOCIAL,,,,212000,0,212000,188668.4
,A,2311,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,4000,0,4000,3368.68
,A,2311,16204,ACCIÓN SOCIAL,,,,6000,0,6000,8112.3
,A,2311,16205,SEGUROS,,,,2400,0,2400,1899.09
,A,2311,16209,OTROS GASTOS SOCIALES,,,,2100,0,2100,1313.58
,A,2311,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,19000,-8000,11000,10399.3
,A,2311,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,5000,0,5000,2708.09
,A,2311,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,237100,-17000,220100,212778.98
,A,2311,22101,SUMINISTROS: AGUA,,,,4500,0,4500,6024.36
,A,2311,22102,GAS,,,,2600,0,2600,11656.29
,A,2311,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10000,0,10000,7621.97
,A,2311,22201,POSTALES,,,,10000,0,10000,11157.56
,A,2311,22690,GASTOS DIVERSOS,,,,20000,-11000,9000,0
,A,2311,22718,MANTENIMIENTO ASCENSORES,,,,1300,0,1300,1569.29
,A,2311,22719,MANTENIMIENTO CLIMATIZACION,,,,7000,0,7000,14768.78
,A,2311,22724,T.R.O.E.P.: SERVICIO TELEASISTENCIA,,,,45000,0,45000,38995.6
,A,2311,22725,TRABAJOS EMPRESAS Y PROF: PROGRAMA DE FAMILIA,,,,124000,4184.81,128184.81,77579.47
,A,2311,22726,CONTRATO SERVICIO AYUDA A DOMICILIO,,,,300000,0,300000,248434.3
,A,2311,22727,T.R.O.E.P.:AUTONOMÍA PERSONAL,,,,75000,4219.12,79219.12,21585.71
,A,2311,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,,,,20000,0,20000,6429.5
,A,2311,48010,AYUDA HUMANITARIA,,,,0,19252,19252,19252
,A,2311,48011,CONVENIO CON ASOCIACION ARAP DE PINTO,,,,0,2500,2500,2500
,A,2311,48012,CONVENIO ASOCIACION AMP DE PINTO,,,,0,25000,25000,25000
,A,2311,48013,CONVENIO CON ASOCIACION AFAP DE PINTO,,,,0,2500,2500,2500
,A,2311,48017,CONVENIO PROYECTOS Y ACTIVIDADES A.M.P.,,,,0,100000,100000,50000
,A,2311,48018,EMERGENCIA SOCIAL BASICA,,,,300000,167181.92,467181.92,286282.62
,A,2311,48021,AYUDAS MEJORA HABITABILIDAD,,,,12000,0,12000,1064.8
,A,2313,13000,RETRIBUCIONES BÁSICAS,,,,109000,0,109000,135552.65
,A,2313,13002,OTRAS REMUNERACIONES,,,,27000,0,27000,29432.26
,A,2313,15000,PRODUCTIVIDAD,,,,13000,0,13000,15219.59
,A,2313,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,3000,0,3000,350.37
,A,2313,16000,SEGURIDAD SOCIAL,,,,47000,0,47000,41827.43
,A,2313,16204,ACCIÓN SOCIAL,,,,3000,0,3000,2651.99
,A,2313,16205,SEGUROS,,,,100,0,100,195.9
,A,2313,16209,OTROS GASTOS SOCIALES,,,,100,0,100,61.88
,A,2313,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,9500,-2500,7000,5199.65
,A,2313,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,4000,0,4000,404.88
,A,2313,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,3000,0,3000,0
,A,2313,22101,SUMINISTROS: AGUA,,,,650,0,650,212.32
,A,2313,22200,SERVICIOS DE TELECOMUNICACIONES,,,,3500,0,3500,3070.54
,A,2313,22606,"REUNIONES, CONFERENCIAS, CURSOS",,,,2000,0,2000,0
,A,2313,22612,PUNTO MUNICIPAL SOLIDARIO,,,,2000,0,2000,0
,A,2313,22614,DESARROLLO DEL PACTO DE ESTADO CONTRA LA VIOLENCIA DE GENERO,,,,0,25124.63,25124.63,24915.08
,A,2313,22616,PUNTO DE INFORMACIÓN ASOCIATIVA,,,,2000,0,2000,0
,A,2313,22617,PLAN DE IGUALDAD,,,,5900,0,5900,0
,A,2313,22624,PREVENCIÓN Y SENSIBILIZACIÓN,,,,10000,42467.76,52467.76,41331.77
,A,2313,22625,CONCILIACIÓN Y CORRESPONSABILIDAD,,,,25000,0,25000,6886
,A,2313,22626,IGUALDAD DE OPORTUNIDADES,,,,8000,0,8000,14680.5
,A,2313,22642,ADQUISICIONES MATERIALES EDUCATIVOS CONCEJALIA MUJER COVID,,,,0,1739.13,1739.13,1692.79
,A,2313,22690,GASTOS DIVERSOS,,,,9000,0,9000,0
,A,2313,22718,MANTENIMIENTO ASCENSORES,,,,1250,0,1250,1586.42
,A,2313,22719,MANTENIMIENTO CLIMATIZACION,,,,7000,0,7000,5599.44
,A,2313,48020,CONVENIO ATENCION PERSONAS VULNERABLES COVID 19 AMP,,,,0,40702.41,40702.41,38491.53
,A,2313,48022,AYUDAS Y SUBVENCIONES A  ORGANIZACIONES VECINALES,,,,50000,52470.72,102470.72,37715.77
,A,3201,13000,RETRIBUCIONES BÁSICAS,,,,320000,0,320000,274346.68
,A,3201,13002,OTRAS REMUNERACIONES,,,,92000,0,92000,84719.84
,A,3201,15000,PRODUCTIVIDAD,,,,43000,0,43000,38820.15
,A,3201,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,1000,0,1000,521.93
,A,3201,16000,SEGURIDAD SOCIAL,,,,144000,0,144000,128152.13
,A,3201,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,3000,0,3000,2773.05
,A,3201,16204,ACCIÓN SOCIAL,,,,12000,0,12000,4704.91
,A,3201,16205,SEGUROS,,,,1000,0,1000,791.3
,A,3201,16209,OTROS GASTOS SOCIALES,,,,500,0,500,312.26
,A,3201,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,900,-300,600,492.67
,A,3201,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,2000,0,2000,202.44
,A,3201,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,11000,-10000,1000,0
,A,3201,22101,SUMINISTROS: AGUA,,,,1000,0,1000,817.37
,A,3201,22103,COMBUSTIBLES Y CARBURANTES,,,,5500,0,5500,0
,A,3201,22200,SERVICIOS DE TELECOMUNICACIONES,,,,600,0,600,670.05
,A,3201,22699,OTROS GASTOS DIVERSOS,,,,1250,0,1250,2158.33
,A,3201,22718,MANTENIMIENTO ASCENSORES,,,,1250,0,1250,471.72
,A,3201,22719,MANTENIMIENTO CLIMATIZACION,,,,2000,0,2000,5491.99
,A,3201,22728,CONTRATO MANUTENCION NIÑOS E. INFANTIL,,,,70000,0,70000,65437.64
,A,3201,48006,TRANSFERENCIAS ESCUELAS INFANTILES,,,,385000,227331.16,612331.16,428357.12
,A,3202,13000,RETRIBUCIONES BÁSICAS,,,,74000,0,74000,0
,A,3202,13002,OTRAS REMUNERACIONES,,,,30000,0,30000,0
,A,3202,15000,PRODUCTIVIDAD,,,,26000,0,26000,0
,A,3202,16000,SEGURIDAD SOCIAL,,,,36000,0,36000,32038.02
,A,3202,16204,ACCIÓN SOCIAL,,,,2500,0,2500,0
,A,3202,16205,SEGUROS,,,,100,0,100,79.14
,A,3202,16209,OTROS GASTOS SOCIALES,,,,100,0,100,61.88
,A,3202,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,8000,-3600,4400,4378.54
,A,3202,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,2000,0,2000,4431.25
,A,3202,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,102000,0,102000,158284.67
,A,3202,22101,SUMINISTROS: AGUA,,,,48000,-10000,38000,33823.09
,A,3202,22102,GAS,,,,240000,-20000,220000,106483.47
,A,3202,22200,SERVICIOS DE TELECOMUNICACIONES,,,,350,0,350,276.67
,A,3202,22699,OTROS GASTOS DIVERSOS,,,,2400,0,2400,238.13
,A,3202,22718,MANTENIMIENTO ASCENSORES,,,,7550,0,7550,4428.42
,A,3202,22719,MANTENIMIENTO CLIMATIZACION,,,,15000,0,15000,15192.72
,A,3203,13000,RETRIBUCIONES BÁSICAS,,,,22000,0,22000,25355.38
,A,3203,13002,OTRAS REMUNERACIONES,,,,3000,0,3000,3559.62
