#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
34100,PRECIO PUBLICO USUARIOS SERVICIOS SOCIALES- TELEASISTENCIA,10000,0,10000,13853.9
34201,ACTIVIDADES EXTRAESCOLARES,10000,0,10000,22449.45
34202,PRECIO PUBLICO SERVICIO HORARIO AMPLIADO,200000,0,200000,97752.05
34203,PRECIO PUBLICO ESCUELA DE MUSICA,240000,0,240000,56914.33
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,20000,0,20000,-1006.64
34205,PRECIO PUBLICO SERVICIOS ESCUELA INFANTIL,237000,0,237000,71356.45
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,3000,0,3000,0
34207,LUDOTECA,66000,0,66000,24118
34208,CAMPAMENTO URBANO,127286.8,0,127286.8,0
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,35000,0,35000,23185.97
34401,ENTRADAS TORRE EBOLI,3000,0,3000,813.33
389,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,22753.89
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,160000,0,160000,25488.7
39190,OTRAS MULTAS Y SANCIONES,25000,0,25000,63081.05
39211,RECARGO DE APREMIO,300000,0,300000,153773.69
39300,INTERESES DE DEMORA,220000,0,220000,119630.45
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,30000,0,30000,71136.59
39900,OTROS INGRESOS DIVERSOS,75000,0,75000,146455.86
39901,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,9635.35
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,0,57242.62,57242.62,0
39905,OTROS INGRESOS - AT. PINTO,3500,0,3500,0
39907,INGRESOS DIVIDENDOS CANAL ISABEL II,220000,0,220000,18585.85
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,9500000,0,9500000,11986559.14
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000,0,44000,0
45001,TRANNS. CAM PROMOCION TURISMO,0,0,0,4000
45002,TRANSF. CAMP CONVENIO SERVICIOS SOCIALES,463286.43,0,463286.43,656901.56
45003,TRANSFERENCIAS CAM SERV. SOCIALES COVID 19,0,167181.92,167181.92,167181.92
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,98978.22,0,98978.22,183650.49
45005,TRANSF CAM- FONDOS BIBLIOGRAFICOS 2020,0,19083.93,19083.93,12399.64
45006,TRANSFERENCIAS CAM PROTECCION ANIMAL,0,0,0,2929.99
45030,TRANSFER. CAM ESCUELAS INFANTILES,527407.56,0,527407.56,977504.07
45034,TRANSFERENCIAS CAM A CONVENIO ABSENTISMO ESCOLAR,8038.47,0,8038.47,15725.55
45035,TRANSFER. CAM DEPORTES,10000,0,10000,30719.46
45036,TRANSFERENCIAS INAP,8000,0,8000,0
45037,TRANSF COMUNIDAD MADRID- ACTUACIONES VIOLENCIA GENERO,0,42467.76,42467.76,48990.4
45050,CONVENIO CAM- REFUERZO LIMPIEZA CENTROS ESCOLARES COVID19,0,0,0,0
45051,TRANSF.CAM PROY.CUAL..MENOR 30 AÑOS. EXP.GJCDLD/0037/2020,0,23600,23600,23600
45052,TRANS.CAM PROY.ACTIV.PROF.MENOR 30 AÑO  EXP.GJADLD/0082/2020,0,13782.49,13782.49,13782.49
45053,TRANS.CAM PROY.REACT.MAYOR 30 AÑOS EXP. RDLD/129/2020,0,47575,47575,47575
45054,TRANSF.CAM PROY.CUALIF.MAYOR 30 AÑOS EXP CDLD/0053/2020,0,22400,22400,13901.64
45055,TRANSF C-.MADRID- PLAN DE FORMACION DEL PERSONAL 2020,0,19992.79,19992.79,20795.79
45056,TRANSF.C.MADRID ACTIV.PROF.MENOR 30 AÑOS GJADLD/0020/2019,0,67321.92,67321.92,64328.06
45057,TRANS.C.MADRID CUALIF. MENOR 30 AÑOS GJCDLD/0012/2019,0,76714.6,76714.6,16773.61
45058,TRANSF.C.MADRID CUALIF.MAYOR 30 AÑOS CDLD/0046/2019,0,70750,70750,40189.97
45059,TRANSF.C.MADRID REACTIV.  PROF. MAYOR 30 AÑOS RDLD/0085/2019,0,190803.37,190803.37,138933.63
45061,TRANSFERENCIAS FUNCIONAMIENTO JUZGADO DE PAZ,2400,0,2400,4660
45062,TRANSFERENCIAS CAM BESCAM,1210000,0,1210000,1689016.58
45070,TRANSFERENCIAS P.I.R. GASTO CORRIENTE,0,0,0,1064296.2
46600,TRANSFERENCIAS FEMP PROGRAMAS DE SALUD,2000,0,2000,0
46601,TRANSFERENCIAS FEMP PROGRAMAS MAYORES,10000,0,10000,0
47000,TRANSFERENCIAS DE EMPRESAS PRIVADAS,0,12052.72,12052.72,12052.72
47001,DONATIVO BANCO ALIMENTOS MUNICIPAL,0,4000,4000,4000
52000,INTERESES EN CUENTAS CORRIENTES,10000,0,10000,37.76
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,125000,0,125000,128724.38
54900,Otras rentas de bienes inmuebles,38800,0,38800,41887.41
55500,CONCESIONES ADMINISTRATIVAS,315000,0,315000,263585.12
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000,0,50000,40800
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000,0,25000,24040.48
870,Remanente de tesorería,0,136717.88,136717.88,0
87000,REMANENTE DE TESORERIA,0,2138461.73,2138461.73,0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0,0,0,0
