#,Org.,Prog.,Econ.,DENOMINACIÓN DE LAS APLICACIONES,Vinc. Org.,Vinc. Prog.,Vinc. Eco.,Créditos Iniciales,Modificaciones,Créditos Totales,Obligaciones Reconocidas
A13223120,A,132,23120,DEL PERSONAL NO DIRECTIVO,A,132,231,1000,0,1000,0
A13245320,A,132,45320,APORTACION AL CONSORCIO DE TRANSPORTES,A,132,453,115000,-72200,42800,42752.88
A13263400,A,132,63400,INVERSION DE REPOSICION EN ELEMENTOS DE TRANSPORTE,A,132,63400,10000,0,10000,0
A13513000,A,135,13000,RETRIBUCIONES BÁSICAS,0,1,1,170000,0,170000,168376.89
A13513002,A,135,13002,OTRAS REMUNERACIONES,0,1,1,13000,0,13000,12388.1
A13515000,A,135,15000,PRODUCTIVIDAD,0,1,1,123000,0,123000,155206.54
A13516000,A,135,16000,SEGURIDAD SOCIAL,0,1,1,94000,0,94000,79150.65
A13516204,A,135,16204,ACCIÓN SOCIAL,0,1,1,5000,0,5000,3590.62
A13516205,A,135,16205,SEGUROS,0,1,1,500,0,500,405.06
A13516209,A,135,16209,OTROS GASTOS SOCIALES,0,1,1,800,0,800,599.2
A13520400,A,135,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,A,135,204,12500,4437.58,16937.58,0
A13521400,A,135,21400,REP. MANT. Y CONSERVACION ELEMENTOS TRANSPORTE,A,135,214,10000,0,10000,6302.89
A13522103,A,135,22103,COMBUSTIBLES Y CARBURANTES,A,135,221,4000,-3990,10,0
A13522104,A,135,22104,VESTUARIO,A,135,221,10000,-2000,8000,8609.64
A13522111,A,135,22111,"SUMINISTROS DE REPUESTOS MAQUINARIA, UTILLAJE Y ELEM.TPTE.",A,135,221,6500,-5000,1500,0
A13522118,A,135,22118,UTILES,A,135,221,18000,-4437.58,13562.42,13876.89
A13522502,A,135,22502,TRIBUTOS AUTONÓMICOS SERVICIO PREVENCIÓN EXTINCIÓN INCENDIOS,A,135,225,1500000,46400.9,1546400.9,1546400.89
A13522690,A,135,22690,GASTOS DIVERSOS,A,135,226,10700,-2700,8000,4240.13
A24113000,A,241,13000,RETRIBUCIONES BÁSICAS,0,2,1,80000,0,80000,49534.84
A24113002,A,241,13002,OTRAS REMUNERACIONES,0,2,1,24000,0,24000,14590.77
A24114300,A,241,14300,OTRO PERSONAL,0,2,1,150000,-115627.96,34372.04,1756.8
A24114301,A,241,14301,SUELDOS PROYECTO REACT.PROF.MAYORES 30 AÑOS,A,241,14301,0,0,0,0
A24114302,A,241,14302,SALARIOS PROYECTO CUALIF.PROF. MENORES AÑOS- GJADLD/0050/201,A,241,14302,0,34397.6,34397.6,31989.35
A24114303,A,241,14303,SALARIOS PROY CUALIF.PROF.MENORES 30 AÑOS- GJCDLD/0033/2018,A,241,14303,0,15130,15130,13144.37
A24114304,A,241,14304,SALARIO PROY REACTIV. PROF. MAYOR 30 AÑOS EX. RDLD/01116/17,A,241,14304,0,164397.93,164397.93,159075.63
A24114305,A,241,14305,SALARIOS PROY.CUALIF.PROF.MAYOR 30 AÑOS EX.CDLD/0074/2017,A,241,14305,0,108038,108038,107628.09
A24114306,A,241,14306,SALARIOS PROY.ACTIV.PROF.MENOR 30 AÑOS GJADL/0072/2017,A,241,14306,0,42866.17,42866.17,37038.89
A24114307,A,241,14307,SALARIOS PROY. REACT.PROF.MAYORES 30 AÑOS- RDLD/0105/2018,A,241,14307,0,77702.26,77702.26,58465.07
A24114308,A,241,14308,SALARIO PROY.CUALIF.PROF.MENOR 30 AÑOS EXP.GJCDLD/0043/2017,A,241,14308,0,44635.4,44635.4,44022.29
A24114309,A,241,14309,SALARIOS PROY. CUALIFICAC.MAYORES 30 AÑOS- CDLD/0068/2018,A,241,14309,0,18988.5,18988.5,10909
A24115000,A,241,15000,PRODUCTIVIDAD,0,2,1,11000,0,11000,8429.94
A24116000,A,241,16000,SEGURIDAD SOCIAL,0,2,1,54000,113772.69,167772.69,183487.8
A24116200,A,241,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,2,1,1000,0,1000,1018.43
A24116204,A,241,16204,ACCIÓN SOCIAL,0,2,1,4000,0,4000,112.51
A24116205,A,241,16205,SEGUROS,0,2,1,400,0,400,324.05
A24116209,A,241,16209,OTROS GASTOS SOCIALES,0,2,1,400,0,400,299.58
A24120600,A,241,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,241,206,11000,-3000,8000,4935.89
A24122100,A,241,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,241,221,29000,-9000,20000,0
A24122101,A,241,22101,SUMINISTROS: AGUA,A,241,221,36500,-18000,18500,9748.29
A24122102,A,241,22102,GAS,A,241,221,2400,0,2400,379.14
A24122112,A,241,22112,MATERIALES PROGRAMA CUALIF.MAYORES 30 AÑOS,A,241,221,0,3500,3500,0
A24122113,A,241,22113,MATERIAL PROGRAMA REACTIV.MAYORES 30 AÑOS,A,241,221,0,5000,5000,0
A24122130,A,241,22130,"VESTUARIO , MAT. Y HERRAM PROG. REACTIVACION MAYORES 30 AÑOS",A,241,221,0,7000,7000,2020.58
A24122200,A,241,22200,SERVICIOS DE TELECOMUNICACIONES,A,241,222,10800,-3000,7800,5393.61
A24122201,A,241,22201,POSTALES,A,241,222,5000,0,5000,6677.64
A24122690,A,241,22690,GASTOS DIVERSOS,A,241,226,10000,-5000,5000,3683.34
A24122716,A,241,22716,"FORM. PRO,Y CUALIF. MAYOES 30 AÑOS CDLD/0068/2018",A,241,22716,0,28800,28800,0
A24122717,A,241,22717,FORM. PROY. REACTIV. MAYORES 30 AÑOS- RDLD/0105/2018,A,241,22717,0,20160,20160,17521.11
A24122718,A,241,22718,MANTENIMIENTO ASCENSORES,A,241,227,2500,0,2500,1764.33
A24122719,A,241,22719,MANTENIMIENTO CLIMATIZACION,A,241,227,8000,0,8000,7800.81
A24122731,A,241,22731,FORM. PROY. CUALIFIC. MENORES 30 AÑOS  GJCDLD/0033/2018,A,241,22731,0,15000,15000,2524.68
A24122750,A,241,22750,FORMAC TRANSV PROY ACTIV. MENORES 30 AÑOS GJADLD/0050/2018,A,241,22750,0,10080,10080,4860
A24122751,A,241,22751,FORMAC TRANSV.PROYECT REACTIV. MAYOR 30 AÑOS,A,241,22751,0,9400,9400,5455
A24122754,A,241,22754,FORM.TRANS.PROY.CUALIF.PROF.MAYORES 30 AÑOS.,A,241,22754,0,43300,43300,43277.07
A32012004,A,320,12004,SUELDOS DEL GRUPO C2,0,3,1,9000,-9000,0,0
A32012006,A,320,12006,TRIENIOS,0,3,1,3000,-3000,0,0
A32012100,A,320,12100,COMPLEMENTO DE DESTINO,0,3,1,6000,-6000,0,0
A32012101,A,320,12101,COMPLEMENTO ESPECÍFICO,0,3,1,5000,-5000,0,0
A32013000,A,320,13000,RETRIBUCIONES BÁSICAS,0,3,1,135000,-50000,85000,98122.63
A32013002,A,320,13002,OTRAS REMUNERACIONES,0,3,1,18000,-2000,16000,13538.89
A32015000,A,320,15000,PRODUCTIVIDAD,0,3,1,30000,-8000,22000,22888.6
A32016000,A,320,16000,SEGURIDAD SOCIAL,0,3,1,64000,-9000,55000,58678.25
A32016200,A,320,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,3,1,2000,0,2000,908.35
A32016204,A,320,16204,ACCIÓN SOCIAL,0,3,1,5000,-3000,2000,240.71
A32016205,A,320,16205,SEGUROS,0,3,1,400,0,400,324.05
A32016209,A,320,16209,OTROS GASTOS SOCIALES,0,3,1,300,0,300,223.98
A32020600,A,320,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,320,206,1500,0,1500,673.2
A32021200,A,320,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,320,212,2000,0,2000,444.68
A32022100,A,320,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,320,221,17000,-16990,10,0
A32022101,A,320,22101,SUMINISTROS: AGUA,A,320,221,800,0,800,0
A32022200,A,320,22200,SERVICIOS DE TELECOMUNICACIONES,A,320,222,4500,0,4500,3517.06
A32022201,A,320,22201,POSTALES,A,320,222,5000,0,5000,6552.93
A32022699,A,320,22699,OTROS GASTOS DIVERSOS,A,320,226,36000,0,36000,32312.94
A32022718,A,320,22718,MANTENIMIENTO ASCENSORES,A,320,227,2500,0,2500,2519.69
A32022719,A,320,22719,MANTENIMIENTO CLIMATIZACION,A,320,227,5000,0,5000,6635.55
A32022745,A,320,22745,CONTRATO CAMPAMENTO URBANO,A,320,227,70000,160000,230000,218609.37
A32022799,A,320,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,A,320,227,5000,0,5000,5148.74
A32042200,A,320,42200,CONVENIO UNED,A,320,422,20000,-7000,13000,11221.27
A32048009,A,320,48009,CONVENIO ABSENTISMO ESCOLAR,A,320,480,5000,3038,8038,0
A32048019,A,320,48019,PROGRAMA MUNICIPAL DE APOYO A LA ESCOLARIDAD,A,320,480,40000,66000,106000,86802.99
A33412003,A,334,12003,SUELDOS DEL GRUPO C1,0,3,1,12000,0,12000,23810.94
A33412004,A,334,12004,SUELDOS DEL GRUPO C2,0,3,1,9000,0,9000,0
A33412006,A,334,12006,TRIENIOS,0,3,1,6000,0,6000,6826.8
A33412100,A,334,12100,COMPLEMENTO DE DESTINO,0,3,1,14000,0,14000,13516.2
A33412101,A,334,12101,COMPLEMENTO ESPECÍFICO,0,3,1,19000,0,19000,18773.55
A33413000,A,334,13000,RETRIBUCIONES BÁSICAS,0,3,1,309000,-20000,289000,309540.98
A33413002,A,334,13002,OTRAS REMUNERACIONES,0,3,1,88000,0,88000,78911.59
A33415000,A,334,15000,PRODUCTIVIDAD,0,3,1,53000,0,53000,58138.34
A33415200,A,334,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,3,1,26000,0,26000,18026.86
A33416000,A,334,16000,SEGURIDAD SOCIAL,0,3,1,164000,-12000,152000,150362.99
A33416200,A,334,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,3,1,2000,0,2000,3009.75
A33416204,A,334,16204,ACCIÓN SOCIAL,0,3,1,17000,0,17000,10541.35
A33416205,A,334,16205,SEGUROS,0,3,1,1400,0,1400,1134.16
A33416209,A,334,16209,OTROS GASTOS SOCIALES,0,3,1,1200,0,1200,1649.46
A33420600,A,334,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,334,206,16000,-5000,11000,7178.98
A33420900,A,334,20900,CÁNONES.,A,334,209,4000,12000,16000,15712.57
A33421200,A,334,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,334,212,46000,0,46000,3887.73
A33422001,A,334,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",A,334,220,10000,15000,25000,6073.7
A33422100,A,334,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,334,221,230700,-158574.6,72125.4,17882.77
A33422101,A,334,22101,SUMINISTROS: AGUA,A,334,221,19700,0,19700,30260.9
A33422102,A,334,22102,GAS,A,334,221,29500,0,29500,32534.83
A33422103,A,334,22103,COMBUSTIBLES Y CARBURANTES,A,334,221,1000,0,1000,0
A33422200,A,334,22200,SERVICIOS DE TELECOMUNICACIONES,A,334,222,11500,0,11500,5955.5
A33422201,A,334,22201,POSTALES,A,334,222,5000,0,5000,7365.97
A33422401,A,334,22401,SEGUROS SUSPENSION DE ACTUACIONES,A,334,224,3000,0,3000,2906.72
A33422609,A,334,22609,FESTEJOS TAURINOS,A,334,226,25000,0,25000,0
A33422613,A,334,22613,ANIMACION A LA LECTURA,A,334,226,10000,0,10000,9599.39
A33422618,A,334,22618,PINTO VERANO,A,334,226,25000,-5000,20000,19506.48
A33422619,A,334,22619,FIESTAS CARNAVALES Y NAVIDAD,A,334,226,40000,0,40000,47446.34
A33422620,A,334,22620,PROMOCION BANDA MPAL Y CORO,A,334,226,50000,0,50000,54799.08
A33422623,A,334,22623,FIESTAS PATRONALES,A,334,226,150000,0,150000,163035.53
A33422628,A,334,22628,VIVE LA NAVIDAD,A,334,226,15000,-3000,12000,2473.25
A33422630,A,334,22630,PROGRAMACION SOCIOCULTURAL,A,334,226,21000,0,21000,28882.05
A33422643,A,334,22643,ACTIVIDADES MESA DE LA MUSICA,A,334,226,0,5000,5000,2250
A33422644,A,334,22644,ACTIVIDADES CONSEJO SECTORIAL  DE CULTURA,A,334,226,0,6000,6000,3750
A33422690,A,334,22690,GASTOS DIVERSOS,A,334,226,8000,0,8000,5218.39
A33422718,A,334,22718,MANTENIMIENTO ASCENSORES,A,334,227,10000,0,10000,7570.74
A33422719,A,334,22719,MANTENIMIENTO CLIMATIZACION,A,334,227,24000,0,24000,25272.34
A33422723,A,334,22723,CONTRATO ILUMINACION Y SONIDO TEATRO,A,334,227,30000,42600,72600,51825.96
A33422730,A,334,22730,CONTRATO ILUMINACION FIESTAS,A,334,227,30000,0,30000,30000
A33422732,A,334,22732,CONTRATO FUEGOS ARTIFICIALES,A,334,227,20000,-7000,13000,13000
A33422748,A,334,22748,PROGRAMACION TEATRO MPAL,A,334,227,50000,0,50000,62663.16
A33422753,A,334,22753,PROMOCIÓN DEL COMERCIO Y PYMES,A,334,227,50000,-16000,34000,23763.73
A33422755,A,334,22755,T.R.O.E.P.: FESTIVAL RENACENTISTA,A,334,227,20000,-5000,15000,13235.01
A33422756,A,334,22756,T.R.O.E.P.: :DIFUSIÓN PATRIMONIO HISTÓRICO,A,334,227,20000,-10000,10000,8790.65
A33422757,A,334,22757,T.R.O.E.P.: DIFUSIÓN,A,334,227,25000,-15000,10000,4812.79
A33422758,A,334,22758,T.R.O.E.P.: CONTRATO SONIDO ACTUACIONES CALLE,A,334,227,30000,0,30000,26658
A33422759,A,334,22759,T.R.O.E.P.: AGENDA 21 CULTURAL,A,334,227,10000,-9990,10,900
A33422765,A,334,22765,TROEP-CONTRATO VENTA DE DE ENTRADAS EVENTOS MUNICIPALES,A,334,227,0,18150,18150,5129.88
A33722660,A,337,22660,ACTIVIDADES CONSEJO SECTORIAL ESCOLAR,A,337,226,0,6000,6000,0
A33722782,A,337,22782,ACTIVIDADES JUVENTUD E INFANCIA,A,337,227,0,50000,50000,22637.45
A34113000,A,341,13000,RETRIBUCIONES BÁSICAS,0,3,1,456000,0,456000,382929.07
A34113002,A,341,13002,OTRAS REMUNERACIONES,0,3,1,178000,-25000,153000,133354.48
A34115000,A,341,15000,PRODUCTIVIDAD,0,3,1,75000,-4085.17,70914.83,57563.27
A34115200,A,341,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,3,1,32000,0,32000,43100.66
A34116000,A,341,16000,SEGURIDAD SOCIAL,0,3,1,243000,-27485.5,215514.5,222793.96
A34116200,A,341,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,3,1,3000,0,3000,1703.02
A34116204,A,341,16204,ACCIÓN SOCIAL,0,3,1,5000,0,5000,2584.64
A34116205,A,341,16205,SEGUROS,0,3,1,2400,0,2400,1944.27
A34116209,A,341,16209,OTROS GASTOS SOCIALES,0,3,1,1000,0,1000,749
A34120600,A,341,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,341,206,38850,-10000,28850,17432.48
A34121200,A,341,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,341,212,22000,-15000,7000,5508.95
A34122100,A,341,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,341,221,373000,0,373000,475662.44
A34122101,A,341,22101,SUMINISTROS: AGUA,A,341,221,160000,0,160000,116502.21
A34122102,A,341,22102,GAS,A,341,221,111000,0,111000,55008.08
A34122104,A,341,22104,VESTUARIO,A,341,221,2000,0,2000,0
A34122116,A,341,22116,TROFEOS DEPORTIVOS,A,341,221,12000,0,12000,11876.51
A34122119,A,341,22119,MATERIAL TECNICO DEPORTIVO,A,341,221,40000,-30000,10000,4465.06
A34122200,A,341,22200,SERVICIOS DE TELECOMUNICACIONES,A,341,222,8000,0,8000,5095.2
A34122201,A,341,22201,POSTALES,A,341,222,5000,0,5000,6552.93
A34122402,A,341,22402,SEGUROS DEPORTIVOS,A,341,224,60000,0,60000,59586.73
A34122640,A,341,22640,ACTIVIDADES CONSEJO SECTORIAL DE DEPORTES,A,341,226,0,6000,6000,0
A34122690,A,341,22690,GASTOS DIVERSOS,A,341,226,6000,0,6000,711.16
A34122718,A,341,22718,MANTENIMIENTO ASCENSORES,A,341,227,3750,0,3750,2117.52
A34122719,A,341,22719,MANTENIMIENTO CLIMATIZACION,A,341,227,25000,0,25000,25108
A34122735,A,341,22735,ARBITRAJES Y COORDINACION,A,341,227,10000,0,10000,5434.5
A34122776,A,341,22776,CONTRATO GESTION ACTIVIDADES DEPORTIVAS,A,341,227,0,213550.2,213550.2,160033.71
A34122799,A,341,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,A,341,227,2000,0,2000,250
A34123120,A,341,23120,DEL PERSONAL NO DIRECTIVO,A,341,231,1000,0,1000,349.4
A34144900,A,341,44900,ENCOMIENDA A ASERPINTO GESTION INSTALACIONES DEPORTIVAS,A,341,449,0,190818.78,190818.78,190818.78
A34148001,A,341,48001,FOMENTO DEPORTE ESCOLAR,A,341,480,10000,-5000,5000,3249.21
A34148004,A,341,48004,FOMENTO DEPORTE,A,341,480,20000,-10000,10000,198
A34148904,A,341,48904,PROGRAMAS DEPORTIVOS Y ACTIVIDADES,A,341,489,70000,-20000,50000,0
A34263205,A,342,63205,REPARACION-MEJORA CUBIERTA PABELLON DEP.P.ASTURIAS,A,342,63205,0,494885.16,494885.16,0
A34263206,A,342,63206,CONSTRUC. CUBIERTA EN GRADERIO DE C.FUTBOL JUNTO A PAB.P.AST,A,342,63206,0,23347.5,23347.5,22899.86
A34263207,A,342,63207,REFORMA Y ACONDIC.VESTUARIOS ESTADIO FUTBOL AMELIA DEL CASTI,A,342,63207,0,189594.4,189594.4,0
A34263208,A,342,63208,SUSTITUCION CUBIERTA FRONTON PARQUE J.CARLOS I,A,342,63208,0,25571.06,25571.06,0
A34263209,A,342,63209,ARREGLOS Y MEJORAS SKATEPARK DEL PARQUE J.CARLOS I,A,342,63209,0,180844.94,180844.94,5324
A34263212,A,342,63212,REPARACION PISTA Y PARAMENTOS FRONTON APRQUE J. CARLOS I,A,342,63212,0,34971.9,34971.9,0
A34263215,A,342,63215,OBRAS TRANSFORMACION FUENTES PARQ.GABRIEL MARTIN,A,342,63215,0,100000,100000,0
A172122638,A,1721,22638,ACTIVIDADES AGENDA 21,A,172,226,0,6000,6000,5999.53
A231113000,A,2311,13000,RETRIBUCIONES BÁSICAS,0,2,1,513000,0,513000,475385.34
A231113002,A,2311,13002,OTRAS REMUNERACIONES,0,2,1,107000,0,107000,79884.43
A231115000,A,2311,15000,PRODUCTIVIDAD,0,2,1,67000,0,67000,56598.16
A231115200,A,2311,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,2,1,5000,0,5000,11062.87
A231116000,A,2311,16000,SEGURIDAD SOCIAL,0,2,1,212000,0,212000,194371.68
A231116200,A,2311,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,0,2,1,4000,0,4000,4829.25
A231116204,A,2311,16204,ACCIÓN SOCIAL,0,2,1,6000,0,6000,7410.97
A231116205,A,2311,16205,SEGUROS,0,2,1,2400,0,2400,1944.27
A231116209,A,2311,16209,OTROS GASTOS SOCIALES,0,2,1,2100,0,2100,1616.87
A231120200,A,2311,20200,ARRENDAMIENTOS VIVIENDAS IVIMA,A,231,202,5000,-4990,10,0
A231120600,A,2311,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,231,206,19000,-5000,14000,8525.37
A231121200,A,2311,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,231,212,5000,-2990,2010,742.64
A231122100,A,2311,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,231,221,237100,-15000,222100,214270.59
A231122101,A,2311,22101,SUMINISTROS: AGUA,A,231,221,4500,0,4500,2807.14
A231122102,A,2311,22102,GAS,A,231,221,2600,0,2600,11628.9
A231122200,A,2311,22200,SERVICIOS DE TELECOMUNICACIONES,A,231,222,10000,-3000,7000,4151.41
A231122201,A,2311,22201,POSTALES,A,231,222,10000,0,10000,13105.88
A231122642,A,2311,22642,ACTIVIDADES CONSEJO SECTORIAL BIENESTAR SOCIAL,A,231,226,0,6000,6000,2469.5
A231122644,A,2311,22644,ACTIVIDADES CONSEJO SECTORIAL DE COOPERACION,A,231,226,0,3000,3000,0
A231122690,A,2311,22690,GASTOS DIVERSOS,A,231,226,20000,-10000,10000,2534.01
A231122718,A,2311,22718,MANTENIMIENTO ASCENSORES,A,231,227,1300,0,1300,918.53
A231122719,A,2311,22719,MANTENIMIENTO CLIMATIZACION,A,231,227,7000,0,7000,6869.71
A231122722,A,2311,22722,CONTRATO ESTANCIAS EN RESIDENCIA PRIVADA,A,231,227,28000,-13000,15000,13530.24
A231122724,A,2311,22724,T.R.O.E.P.: SERVICIO TELEASISTENCIA,A,231,227,45000,0,45000,30353.03
A231122725,A,2311,22725,TRABAJOS EMPRESAS Y PROF: PROGRAMA DE FAMILIA,A,231,227,124000,-35000,89000,71772.31
A231122726,A,2311,22726,CONTRATO SERVICIO AYUDA A DOMICILIO,A,231,227,300000,58736.88,358736.88,256477.93
A231122727,A,2311,22727,T.R.O.E.P.:AUTONOMÍA PERSONAL,A,231,227,75000,-43000,32000,23713.84
A231122799,A,2311,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,A,231,227,20000,-19990,10,0
A231123300,A,2311,23300,OTRAS INDEMNIZACIONES,A,231,233,30000,-29990,10,0
A231148010,A,2311,48010,AYUDA HUMANITARIA,A,231,480,0,20000,20000,0
A231148012,A,2311,48012,CONVENIO ASOCIACION AMP DE PINTO,A,231,480,0,50000,50000,25000
A231148018,A,2311,48018,EMERGENCIA SOCIAL BASICA,A,231,480,300000,30000,330000,277664.13
A231148021,A,2311,48021,AYUDAS MEJORA HABITABILIDAD,A,231,480,12000,0,12000,9408.95
A231313000,A,2313,13000,RETRIBUCIONES BÁSICAS,0,2,1,109000,0,109000,115216.03
A231313002,A,2313,13002,OTRAS REMUNERACIONES,0,2,1,27000,0,27000,29866.52
A231315000,A,2313,15000,PRODUCTIVIDAD,0,2,1,13000,0,13000,14717.32
A231315200,A,2313,15200,OTROS INCENTIVOS AL RENDIMIENTO,0,2,1,3000,0,3000,1137.79
A231316000,A,2313,16000,SEGURIDAD SOCIAL,0,2,1,47000,0,47000,43091.82
A231316204,A,2313,16204,ACCIÓN SOCIAL,0,2,1,3000,0,3000,2540.31
A231316205,A,2313,16205,SEGUROS,0,2,1,100,0,100,81.01
A231316209,A,2313,16209,OTROS GASTOS SOCIALES,0,2,1,100,0,100,74.19
A231320600,A,2313,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,A,231,206,9500,-3000,6500,4262.68
A231321200,A,2313,21200,REP. MANT. Y CONSERVACION EDIFICIOS,A,231,212,4000,-2990,1010,318.23
A231322100,A,2313,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,A,231,221,3000,-2990,10,0
A231322101,A,2313,22101,SUMINISTROS: AGUA,A,231,221,650,0,650,1114.94
A231322200,A,2313,22200,SERVICIOS DE TELECOMUNICACIONES,A,231,222,3500,-1000,2500,1909.06
A231322606,A,2313,22606,"REUNIONES, CONFERENCIAS, CURSOS",A,231,226,2000,0,2000,553.36
A231322612,A,2313,22612,PUNTO MUNICIPAL SOLIDARIO,A,231,226,2000,0,2000,0
A231322616,A,2313,22616,PUNTO DE INFORMACIÓN ASOCIATIVA,A,231,226,2000,0,2000,0
A231322617,A,2313,22617,PLAN DE IGUALDAD,A,231,226,5900,10000,15900,0
A231322624,A,2313,22624,PREVENCIÓN Y SENSIBILIZACIÓN,A,231,226,10000,30000,40000,29892.79
A231322625,A,2313,22625,CONCILIACIÓN Y CORRESPONSABILIDAD,A,231,226,25000,0,25000,11202.5
A231322626,A,2313,22626,IGUALDAD DE OPORTUNIDADES,A,231,226,8000,0,8000,12777.25
A231322690,A,2313,22690,GASTOS DIVERSOS,A,231,226,9000,0,9000,7447.52
A231322718,A,2313,22718,MANTENIMIENTO ASCENSORES,A,231,227,1250,0,1250,609.06
