#Clasificación,DENOMINACIÓN DE LAS APLICACIONES,Previsiones Iniciales,Modificaciones,Previsiones Definitivas,Derechos Netos,g
34100,PRECIO PUBLICO USUARIOS SERVICIOS SOCIALES- TELEASISTENCIA,0,0,0,9263.69,
34201,ACTIVIDADES EXTRAESCOLARES,0,0,0,3444.34,
34202,PRECIO PUBLICO SERVICIO HORARIO AMPLIADO,200000,0,200000,187499.55,
34203,PRECIO PUBLICO ESCUELA DE MUSICA,240000,0,240000,230854.84,
34204,PRECIO PUBLICO ACTIVIDADES CULTURALES,20000,0,20000,13574.08,
34205,PRECIO PUBLICO SERVICIOS ESCUELA INFANTIL,237000,0,237000,227707.91,
34206,PRECIO PUBLICO ACTIVIDADES DE JUVENTUD,3000,0,3000,140667.5,
34207,LUDOTECA,0,0,0,0,
34300,PRECIO PUBLICO ACTIVIDADES DEPORTIVAS,200000,0,200000,100747.61,
34400,TASA POR TAQUILLAS DE EVENTOS CULTURALES,35000,0,35000,31846.7,
389,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,42846.99,
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,160000,0,160000,122278.48,
39190,OTRAS MULTAS Y SANCIONES,25000,0,25000,44254.67,
39211,RECARGO DE APREMIO,300000,0,300000,270706.94,
39300,INTERESES DE DEMORA,220000,0,220000,651046.48,
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,30000,0,30000,1698.69,
39900,OTROS INGRESOS DIVERSOS,75000,0,75000,126243.87,
39901,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,8314.23,
39902,INGRESOS EFICIENCIA ENERGÉTICA,15000,0,15000,0,
39904,INGRESOS UTE VALORIZA PLIEGO TÉCNICO,0,56664.64,56664.64,0,
39905,OTROS INGRESOS - AT. PINTO,3500,0,3500,4416.61,
39907,INGRESOS DIVIDENDOS CANAL ISABEL II,220000,0,220000,0,
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,9500000,0,9500000,10137138.34,
42020,COMPENSACIÓN POR BENEFICIOS FISCALES,44000,0,44000,38137.64,
45002,TRANSF. CAMP CONVENIO SERVICIOS SOCIALES,445987.08,0,445987.08,445987.08,
45004,TRANSF. CAM CONVENIO ERRADICACIÓN DE VIOLENCIA DE GÉNERO,98978.22,0,98978.22,140958.75,
45030,TRANSFER. CAM ESCUELAS INFANTILES,419592.91,0,419592.91,391847.92,
45034,TRANSFERENCIAS CAM A CONVENIO ABSENTISMO ESCOLAR,8038.47,0,8038.47,8171.44,
45035,TRANSFER. CAM DEPORTES,10000,0,10000,47829,
45036,TRANSFERENCIAS INAP,8000,0,8000,0,
45050,TRANSF CAM:PROYEC REACT.PROF.MAYOR 30 AÑOS EX RDLD/0116/17,0,102970.35,102970.35,75934.68,
45051,TRANSF.CAM PROY.CUAL.PROF.MAYORES 30 AÑOS. EXP.CDLD/0074/17,0,97200,97200,-17004.98,
45052,TRANS.CAM PROY.ACTIV.PROF.MENOR 30 AÑO  EXP.GJADLD/0050/2018,0,53498.1,53498.1,53498.1,
45053,TRANS.CAM PROY.CUALIF.PROF.MENOR 30 AÑO EXP.GJCDLD/0033/2018,0,31000,31000,31000,
45054,TRANSF.C.MADRIDPROY REAC.PROF.MAYOR 30 AÑOS RDLD/0105/2018,0,109939.8,109939.8,109939.8,
45055,TRANSF.C.MADRI PROY CUALIF.PROF. MAYOR 30 AÑO CDLD/0068/2018,0,44800,44800,44800,
45057,FONDOS BIBLIOGRAFICOS,0,15000,15000,15000,
45061,TRANSFERENCIAS FUNCIONAMIENTO JUZGADO DE PAZ,2400,0,2400,2258,
45062,TRANSFERENCIAS CAM BESCAM,1210000,0,1210000,1077222.99,
45070,TRANSFERENCIAS PRISMA GASTO CORRIENTE,880000,0,880000,932521.64,
46600,TRANSFERENCIAS FEMP PROGRAMAS DE SALUD,2000,0,2000,4949.03,
46601,TRANSFERENCIAS FEMP PROGRAMAS MAYORES,10000,0,10000,10304.38,
52000,INTERESES EN CUENTAS CORRIENTES,10000,0,10000,300.8,
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,125000,0,125000,113836.31,
55500,CONCESIONES ADMINISTRATIVAS,315000,0,315000,325215.06,
60000,INGRESOS CONVENIO GEINSOL,140000,0,140000,0,
60001,JUSTIPRECIO EXPROPIACION R-4,0,0,0,651718.58,
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000,0,50000,40955.81,
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000,0,25000,24040.48,
87000,Para gastos generales- REMANENTE DE TESORERIA,0,3940061.05,3940061.05,0,
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0,0,0,0,
#,,41711496.68,4451133.94,46162630.62,43672686.67,
