#a,Org.,Pro.,Eco.,Descripción,f,g,h,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,A,334,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",,,,10000,0,10000,9997.02
,A,334,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,230700,-200000,30700,31736.26
,A,334,22101,SUMINISTROS: AGUA,,,,19700,0,19700,5684.78
,A,334,22102,GAS,,,,29500,-10500,19000,14426.06
,A,334,22103,COMBUSTIBLES Y CARBURANTES,,,,1000,0,1000,0
,A,334,22200,SERVICIOS DE TELECOMUNICACIONES,,,,11500,0,11500,9246.44
,A,334,22201,POSTALES,,,,5000,0,5000,5844.68
,A,334,22401,SEGUROS SUSPENSION DE ACTUACIONES,,,,3000,0,3000,2545.42
,A,334,22609,FESTEJOS TAURINOS,,,,25000,0,25000,32259.99
,A,334,22613,ANIMACION A LA LECTURA,,,,10000,0,10000,4616.85
,A,334,22618,PINTO VERANO,,,,25000,-20000,5000,14277.5
,A,334,22619,FIESTAS CARNAVALES Y NAVIDAD,,,,40000,0,40000,61312.04
,A,334,22620,PROMOCION BANDA MPAL Y CORO,,,,50000,-5000,45000,34775.63
,A,334,22623,FIESTAS PATRONALES,,,,150000,40670,190670,139332.47
,A,334,22628,VIVE LA NAVIDAD,,,,15000,-15000,0,220
,A,334,22630,PROGRAMACION SOCIOCULTURAL,,,,21000,25000,46000,29348.3
,A,334,22662,GASTOS PROGRAMACION NAVIDEÑA,,,,0,14438.04,14438.04,14397.79
,A,334,22690,GASTOS DIVERSOS,,,,8000,-6000,2000,11723.74
,A,334,22718,MANTENIMIENTO ASCENSORES,,,,10000,0,10000,4550.66
,A,334,22719,MANTENIMIENTO CLIMATIZACION,,,,24000,0,24000,14218.44
,A,334,22723,CONTRATO ILUMINACION Y SONIDO TEATRO,,,,30000,42600,72600,98987.1
,A,334,22730,CONTRATO ILUMINACION FIESTAS,,,,30000,26213,56213,28858.62
,A,334,22732,CONTRATO FUEGOS ARTIFICIALES,,,,20000,-7000,13000,13000
,A,334,22748,PROGRAMACION TEATRO MPAL,,,,50000,25000,75000,91136.58
,A,334,22753,PROMOCIÓN DEL COMERCIO Y PYMES,,,,50000,-25000,25000,27836.13
,A,334,22755,T.R.O.E.P.: FESTIVAL RENACENTISTA,,,,20000,0,20000,29369.97
,A,334,22756,T.R.O.E.P.: :DIFUSIÓN PATRIMONIO HISTÓRICO,,,,20000,0,20000,22270.4
,A,334,22757,T.R.O.E.P.: DIFUSIÓN,,,,25000,0,25000,16515.29
,A,334,22758,T.R.O.E.P.: CONTRATO SONIDO ACTUACIONES CALLE,,,,30000,0,30000,26966.06
,A,334,22759,T.R.O.E.P.: AGENDA 21 CULTURAL,,,,10000,-10000,0,0
,A,334,22765,CONTRATO VENTA DE ENTRADAS DE EVENTOS,,,,0,19091.68,19091.68,5372.61
,A,341,13000,RETRIBUCIONES BÁSICAS,,,,456000,0,456000,389155.98
,A,341,13002,OTRAS REMUNERACIONES,,,,178000,0,178000,131198.35
,A,341,15000,PRODUCTIVIDAD,,,,75000,0,75000,56736.96
,A,341,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,32000,0,32000,37892.57
,A,341,16000,SEGURIDAD SOCIAL,,,,243000,0,243000,235337.09
,A,341,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,3000,0,3000,1594.36
,A,341,16204,ACCIÓN SOCIAL,,,,5000,0,5000,3361.81
,A,341,16205,SEGUROS,,,,2400,0,2400,1594.52
,A,341,16209,OTROS GASTOS SOCIALES,,,,1000,0,1000,953.82
,A,341,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,38850,-14000,24850,22281.3
,A,341,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,22000,0,22000,6505.53
,A,341,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,373000,0,373000,369703.63
,A,341,22101,SUMINISTROS: AGUA,,,,160000,-7000,153000,123119.51
,A,341,22102,GAS,,,,111000,0,111000,61989.14
,A,341,22104,VESTUARIO,,,,2000,-1000,1000,0
,A,341,22116,TROFEOS DEPORTIVOS,,,,12000,-2000,10000,11918.54
,A,341,22119,MATERIAL TECNICO DEPORTIVO,,,,40000,-31000,9000,5346.6
,A,341,22200,SERVICIOS DE TELECOMUNICACIONES,,,,8000,0,8000,5873.01
,A,341,22201,POSTALES,,,,5000,0,5000,6577.03
,A,341,22402,SEGUROS DEPORTIVOS,,,,60000,0,60000,58114.16
,A,341,22690,GASTOS DIVERSOS,,,,6000,-3000,3000,0
,A,341,22718,MANTENIMIENTO ASCENSORES,,,,3750,0,3750,1819.3
,A,341,22719,MANTENIMIENTO CLIMATIZACION,,,,25000,0,25000,25907.88
,A,341,22735,ARBITRAJES Y COORDINACION,,,,10000,0,10000,5341.5
,A,341,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,,,,2000,0,2000,0
,A,341,23120,DEL PERSONAL NO DIRECTIVO,,,,1000,0,1000,318.72
,A,341,44900,ENCOMIENDA GESTION INSTALACIONES DEPORTIVAS,,,,0,218329.12,218329.12,218329.12
,A,341,48001,FOMENTO DEPORTE ESCOLAR,,,,10000,-6000,4000,3907.2
,A,341,48004,FOMENTO DEPORTE,,,,20000,-18000,2000,0
,A,341,48014,SUBVENCION AL CLUB ATLETICO DE PINTO,,,,0,40000,40000,40000
,A,341,48904,PROGRAMAS DEPORTIVOS Y ACTIVIDADES,,,,70000,49999.5,119999.5,76989.5
,A,342,62200,ASIST.TEC. REDAC.PROYECTO INSTALAC.ENERGIA SOLAR EN PISCINA,,,,0,21175,21175,0
,A,342,63205,REDACCION PROYECTO Y ASIS. TECNICA REP. CUBIERTA PABELLON P.,,,,0,21780,21780,0
,A,342,63207,REFORMA Y ACONDIC.VESTUARIOS ESTADIO FUTBOL AMELIA DEL CASTI,,,,0,169907.01,169907.01,0
,A,342,63208,SUSTITUCION CUBIERTA DEL FRONTON PARQUE J. CARLOS I,,,,0,30000,30000,0
,A,342,63209,ARREGLOS SKATE PARQUE J. CARLOS I,,,,0,170798,170798,0
,A,342,63211,OBRAS TRANSF.FUENTE PARQUE GABRIEL MARTIN EN ZONA PATINAJE,,,,0,51623.78,51623.78,0
,A,342,63212,REPARACION PISTA Y PARAMENTOS FRONTON APRQUE J. CARLOS I,,,,0,31290.36,31290.36,31290.36
,A,2311,13000,RETRIBUCIONES BÁSICAS,,,,513000,0,513000,548102.87
,A,2311,13002,OTRAS REMUNERACIONES,,,,107000,0,107000,91594.46
,A,2311,15000,PRODUCTIVIDAD,,,,67000,0,67000,64335.74
,A,2311,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,5000,0,5000,7679.64
,A,2311,16000,SEGURIDAD SOCIAL,,,,212000,0,212000,205314.67
,A,2311,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,4000,0,4000,3768.13
,A,2311,16204,ACCIÓN SOCIAL,,,,6000,0,6000,7302.67
,A,2311,16205,SEGUROS,,,,2400,0,2400,1249.79
,A,2311,16209,OTROS GASTOS SOCIALES,,,,2100,0,2100,2002.08
,A,2311,20200,ARRENDAMIENTOS VIVIENDAS IVIMA,,,,5000,-2902.2,2097.8,0
,A,2311,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,19000,-7000,12000,10994.64
,A,2311,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,5000,0,5000,523.56
,A,2311,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,237100,-20000,217100,206245.2
,A,2311,22101,SUMINISTROS: AGUA,,,,4500,0,4500,4927.31
,A,2311,22102,GAS,,,,2600,0,2600,13504.26
,A,2311,22200,SERVICIOS DE TELECOMUNICACIONES,,,,10000,0,10000,6939.79
,A,2311,22201,POSTALES,,,,10000,0,10000,11522.52
,A,2311,22690,GASTOS DIVERSOS,,,,20000,-13100,6900,4176.85
,A,2311,22718,MANTENIMIENTO ASCENSORES,,,,1300,0,1300,630.88
,A,2311,22719,MANTENIMIENTO CLIMATIZACION,,,,7000,0,7000,3670.69
,A,2311,22722,CONTRATO ESTANCIAS EN RESIDENCIA PRIVADA,,,,4850,0,4850,9847.01
,A,2311,22724,T.R.O.E.P.: SERVICIO TELEASISTENCIA,,,,45000,0,45000,39580.82
,A,2311,22725,TRABAJOS EMPRESAS Y PROF: PROGRAMA DE FAMILIA,,,,124000,-1000,123000,138374.42
,A,2311,22726,CONTRATO SERVICIO AYUDA A DOMICILIO,,,,300000,0,300000,221063.28
,A,2311,22727,T.R.O.E.P.:AUTONOMÍA PERSONAL,,,,75000,-2000,73000,37382.74
,A,2311,22799,OTROS TRABAJOS REAQLIZADO POR OTRAS EMPRESAS Y PROFES.,,,,20000,0,20000,0
,A,2311,48010,AYUDA HUMANITARIA,,,,0,39518.12,39518.12,19518.12
,A,2311,48011,CONVENIO CON ASOCIACION ARAP DE PINTO,,,,0,5000,5000,2500
,A,2311,48012,CONVENIO ASOCIACION AMP DE PINTO,,,,0,75000,75000,50000
,A,2311,48013,CONVENIO CON ASOCIACION AFAP DE PINTO,,,,0,5000,5000,2500
,A,2311,48018,EMERGENCIA SOCIAL BASICA,,,,300000,10000,310000,247744.73
,A,2311,48021,AYUDAS MEJORA HABITABILIDAD,,,,12000,0,12000,11740.87
,A,2313,13000,RETRIBUCIONES BÁSICAS,,,,109000,0,109000,122721.81
,A,2313,13002,OTRAS REMUNERACIONES,,,,27000,0,27000,31067.34
,A,2313,15000,PRODUCTIVIDAD,,,,13000,0,13000,15172.43
,A,2313,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,3000,0,3000,717.98
,A,2313,16000,SEGURIDAD SOCIAL,,,,47000,0,47000,45517.89
,A,2313,16204,ACCIÓN SOCIAL,,,,3000,0,3000,1996.07
,A,2313,16205,SEGUROS,,,,100,0,100,66.44
,A,2313,16209,OTROS GASTOS SOCIALES,,,,100,0,100,94.34
,A,2313,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,9500,-3000,6500,5605.5
,A,2313,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,4000,0,4000,418.85
,A,2313,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,3000,-2900,100,0
,A,2313,22101,SUMINISTROS: AGUA,,,,650,0,650,256.05
,A,2313,22200,SERVICIOS DE TELECOMUNICACIONES,,,,3500,0,3500,2581.46
,A,2313,22606,"REUNIONES, CONFERENCIAS, CURSOS",,,,2000,-2000,0,0
,A,2313,22612,PUNTO MUNICIPAL SOLIDARIO,,,,2000,-1990,10,0
,A,2313,22614,DESARROLLO DEL PACTO DE ESTADO CONTRA LA VIOLENCIA DE GENERO,,,,0,25863.69,25863.69,25118.85
,A,2313,22616,PUNTO DE INFORMACIÓN ASOCIATIVA,,,,2000,-1990,10,0
,A,2313,22617,PLAN DE IGUALDAD,,,,5900,0,5900,0
,A,2313,22624,PREVENCIÓN Y SENSIBILIZACIÓN,,,,10000,0,10000,13888.95
,A,2313,22625,CONCILIACIÓN Y CORRESPONSABILIDAD,,,,25000,-1200,23800,12937.3
,A,2313,22626,IGUALDAD DE OPORTUNIDADES,,,,8000,0,8000,14540
,A,2313,22690,GASTOS DIVERSOS,,,,9000,-6900,2100,2031
,A,2313,22718,MANTENIMIENTO ASCENSORES,,,,1250,0,1250,606.43
,A,2313,22719,MANTENIMIENTO CLIMATIZACION,,,,7000,0,7000,3670.69
,A,2313,48022,AYUDAS Y SUBVENCIONES A  ORGANIZACIONES VECINALES,,,,50000,47805.49,97805.49,45985.93
,A,3201,13000,RETRIBUCIONES BÁSICAS,,,,320000,-20000,300000,290677.95
,A,3201,13002,OTRAS REMUNERACIONES,,,,92000,0,92000,83776.49
,A,3201,15000,PRODUCTIVIDAD,,,,43000,0,43000,38917.23
,A,3201,15200,OTROS INCENTIVOS AL RENDIMIENTO,,,,1000,0,1000,2142.94
,A,3201,16000,SEGURIDAD SOCIAL,,,,144000,-20000,124000,139459.02
,A,3201,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL,,,,3000,0,3000,2584.36
,A,3201,16204,ACCIÓN SOCIAL,,,,12000,0,12000,11867.51
,A,3201,16205,SEGUROS,,,,1000,0,1000,664.38
,A,3201,16209,OTROS GASTOS SOCIALES,,,,500,0,500,475.9
,A,3201,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,900,0,900,705.45
,A,3201,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,2000,0,2000,6450.1
,A,3201,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,11000,0,11000,0
,A,3201,22101,SUMINISTROS: AGUA,,,,1000,0,1000,562.75
,A,3201,22103,COMBUSTIBLES Y CARBURANTES,,,,5500,0,5500,7166.78
,A,3201,22200,SERVICIOS DE TELECOMUNICACIONES,,,,600,0,600,632.04
,A,3201,22699,OTROS GASTOS DIVERSOS,,,,1250,0,1250,1867.07
,A,3201,22718,MANTENIMIENTO ASCENSORES,,,,1250,0,1250,606.43
,A,3201,22719,MANTENIMIENTO CLIMATIZACION,,,,2000,0,2000,1049.74
,A,3201,22728,CONTRATO MANUTENCION NIÑOS E. INFANTIL,,,,70000,44950,114950,90227.48
,A,3201,48006,TRANSFERENCIAS ESCUELAS INFANTILES,,,,385000,142718,527718,484506.7
,A,3202,13000,RETRIBUCIONES BÁSICAS,,,,74000,-50000,24000,0
,A,3202,13002,OTRAS REMUNERACIONES,,,,30000,-25000,5000,0
,A,3202,15000,PRODUCTIVIDAD,,,,26000,-25000,1000,0
,A,3202,16000,SEGURIDAD SOCIAL,,,,36000,-5000,31000,34864.74
,A,3202,16204,ACCIÓN SOCIAL,,,,2500,0,2500,0
,A,3202,16205,SEGUROS,,,,100,0,100,66.44
,A,3202,16209,OTROS GASTOS SOCIALES,,,,100,0,100,94.34
,A,3202,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,8000,-3000,5000,4740.3
,A,3202,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,2000,0,2000,3440.79
,A,3202,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,102000,0,102000,160494.71
,A,3202,22101,SUMINISTROS: AGUA,,,,48000,-5000,43000,25308.92
,A,3202,22102,GAS,,,,240000,-45212.63,194787.37,129169.94
,A,3202,22200,SERVICIOS DE TELECOMUNICACIONES,,,,350,0,350,220.47
,A,3202,22699,OTROS GASTOS DIVERSOS,,,,2400,0,2400,314.6
,A,3202,22718,MANTENIMIENTO ASCENSORES,,,,7550,0,7550,3389.51
,A,3202,22719,MANTENIMIENTO CLIMATIZACION,,,,15000,0,15000,9534.1
,A,3203,13000,RETRIBUCIONES BÁSICAS,,,,22000,0,22000,24804.88
,A,3203,13002,OTRAS REMUNERACIONES,,,,3000,0,3000,3498.52
,A,3203,15000,PRODUCTIVIDAD,,,,5000,0,5000,3782.08
,A,3203,16000,SEGURIDAD SOCIAL,,,,9000,0,9000,8716.2
,A,3203,16204,ACCIÓN SOCIAL,,,,1000,0,1000,0
,A,3203,16205,SEGUROS,,,,50,0,50,33.22
,A,3203,16209,OTROS GASTOS SOCIALES,,,,50,0,50,48.23
,A,3203,20600,ARRENDAMIENTO EQUIPOS PROCESOS DE INFORMACION,,,,500,0,500,480.82
,A,3203,21200,REP. MANT. Y CONSERVACION EDIFICIOS,,,,2000,0,2000,209.42
,A,3203,22100,SUMINISTROS: ENERGÍA ELÉCTRICA,,,,6400,-6300,100,0
