#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
45070,TRANSFERENCIAS PRISMA GASTO CORRIENTE,380786.59,0,380786.59,427452.44
46600,TRANSFERENCIAS FEMP PROGRAMAS DE SALUD,2000,0,2000,5646.21
46601,TRANSFERENCIAS FEMP PROGRAMAS MAYORES,10000,0,10000,12673.79
52000,INTERESES EN CUENTAS CORRIENTES,10000,0,10000,179.57
54100,ARRENDAMIENTO INMUEBLES PATRIMONIALES,125000,0,125000,122732.1
54900,Otras rentas de bienes inmuebles,0,0,0,38798.88
55500,CONCESIONES ADMINISTRATIVAS,315000,0,315000,400087.89
83000,REINTEGRO DE ANTICIPOS CONCEDIDOS A PERSONAL,50000,0,50000,30200
83100,REINTEGRO DE PRESTAMOS CONCEDIDO A LARGO PLAZO,25000,0,25000,24040.48
87000,REMANENTES TESORERIA PARA GASTOS GENERALES,0,4391711.13,4391711.13,0
91106,PRESTAMOS A L/P REFUNDICION PRESTAMOS RDL,0,0,0,0
